REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,2020-01-01 00:00:00,7318.64,50.01
NSW1,2020-01-01 00:30:00,7134.15,48.84
NSW1,2020-01-01 01:00:00,6886.14,50.46
NSW1,2020-01-01 01:30:00,6682.01,48.73
NSW1,2020-01-01 02:00:00,6452.46,48.92
NSW1,2020-01-01 02:30:00,6286.89,49.49
NSW1,2020-01-01 03:00:00,6163.74,49.28
NSW1,2020-01-01 03:30:00,6097.16,49.01
NSW1,2020-01-01 04:00:00,6064.02,48.93
NSW1,2020-01-01 04:30:00,6067.83,48.93
NSW1,2020-01-01 05:00:00,6037.57,46.7
NSW1,2020-01-01 05:30:00,6067.13,48.68
NSW1,2020-01-01 06:00:00,6069.47,46.28
NSW1,2020-01-01 06:30:00,6101.89,38.37
NSW1,2020-01-01 07:00:00,6125.52,32.66
NSW1,2020-01-01 07:30:00,6239.39,37.65
NSW1,2020-01-01 08:00:00,6294.45,35.32
NSW1,2020-01-01 08:30:00,6356.82,30.91
NSW1,2020-01-01 09:00:00,6333.78,6.62
NSW1,2020-01-01 09:30:00,6418.06,23.45
NSW1,2020-01-01 10:00:00,6424.01,12.92
NSW1,2020-01-01 10:30:00,6493.55,22.88
NSW1,2020-01-01 11:00:00,6593.13,32.87
NSW1,2020-01-01 11:30:00,6679.28,37.02
NSW1,2020-01-01 12:00:00,6815.0,38.4
NSW1,2020-01-01 12:30:00,6954.52,32.16
NSW1,2020-01-01 13:00:00,7087.53,38.42
NSW1,2020-01-01 13:30:00,7187.66,38.41
NSW1,2020-01-01 14:00:00,7365.48,42.25
NSW1,2020-01-01 14:30:00,7528.5,41.9
NSW1,2020-01-01 15:00:00,7716.27,44.89
NSW1,2020-01-01 15:30:00,7897.09,42.72
NSW1,2020-01-01 16:00:00,8154.28,49.0
NSW1,2020-01-01 16:30:00,8337.13,56.6
NSW1,2020-01-01 17:00:00,8492.82,58.48
NSW1,2020-01-01 17:30:00,8470.11,56.88
NSW1,2020-01-01 18:00:00,8438.46,60.02
NSW1,2020-01-01 18:30:00,8307.12,63.57
NSW1,2020-01-01 19:00:00,8218.6,69.06
NSW1,2020-01-01 19:30:00,8184.05,70.57
NSW1,2020-01-01 20:00:00,8120.49,67.22
NSW1,2020-01-01 20:30:00,7983.82,68.59
NSW1,2020-01-01 21:00:00,7801.16,61.62
NSW1,2020-01-01 21:30:00,7721.82,59.99
NSW1,2020-01-01 22:00:00,7616.27,59.66
NSW1,2020-01-01 22:30:00,7540.84,59.99
NSW1,2020-01-01 23:00:00,7390.02,55.42
NSW1,2020-01-01 23:30:00,7171.48,51.62
NSW1,2020-01-02 00:00:00,7038.56,48.9
NSW1,2020-01-02 00:30:00,6846.48,49.59
NSW1,2020-01-02 01:00:00,6609.17,49.01
NSW1,2020-01-02 01:30:00,6366.87,44.47
NSW1,2020-01-02 02:00:00,6195.79,38.83
NSW1,2020-01-02 02:30:00,6097.17,41.94
NSW1,2020-01-02 03:00:00,6037.57,45.94
NSW1,2020-01-02 03:30:00,6044.42,48.6
NSW1,2020-01-02 04:00:00,6076.03,48.62
NSW1,2020-01-02 04:30:00,6241.84,51.21
NSW1,2020-01-02 05:00:00,6335.87,50.51
NSW1,2020-01-02 05:30:00,6534.93,51.68
NSW1,2020-01-02 06:00:00,6759.37,49.62
NSW1,2020-01-02 06:30:00,6925.48,48.56
NSW1,2020-01-02 07:00:00,7096.01,48.65
NSW1,2020-01-02 07:30:00,7276.92,48.85
NSW1,2020-01-02 08:00:00,7462.45,48.65
NSW1,2020-01-02 08:30:00,7565.95,50.71
NSW1,2020-01-02 09:00:00,7590.13,48.95
NSW1,2020-01-02 09:30:00,7639.87,60.46
NSW1,2020-01-02 10:00:00,7637.71,59.5
NSW1,2020-01-02 10:30:00,7624.85,55.63
NSW1,2020-01-02 11:00:00,7637.84,57.92
NSW1,2020-01-02 11:30:00,7672.68,60.45
NSW1,2020-01-02 12:00:00,7680.36,55.05
NSW1,2020-01-02 12:30:00,7723.33,58.12
NSW1,2020-01-02 13:00:00,7778.99,58.31
NSW1,2020-01-02 13:30:00,7854.25,59.96
NSW1,2020-01-02 14:00:00,7991.33,63.71
NSW1,2020-01-02 14:30:00,8116.61,59.8
NSW1,2020-01-02 15:00:00,8336.8,61.91
NSW1,2020-01-02 15:30:00,8585.11,65.21
NSW1,2020-01-02 16:00:00,8823.92,64.18
NSW1,2020-01-02 16:30:00,8954.77,71.11
NSW1,2020-01-02 17:00:00,9101.15,79.43
NSW1,2020-01-02 17:30:00,9061.22,76.29
NSW1,2020-01-02 18:00:00,9026.27,75.84
NSW1,2020-01-02 18:30:00,8878.47,79.59
NSW1,2020-01-02 19:00:00,8782.49,80.26
NSW1,2020-01-02 19:30:00,8646.91,70.86
NSW1,2020-01-02 20:00:00,8607.86,70.54
NSW1,2020-01-02 20:30:00,8362.67,64.75
NSW1,2020-01-02 21:00:00,8123.57,55.17
NSW1,2020-01-02 21:30:00,8012.09,52.74
NSW1,2020-01-02 22:00:00,7802.82,56.74
NSW1,2020-01-02 22:30:00,7798.2,64.53
NSW1,2020-01-02 23:00:00,7620.37,57.47
NSW1,2020-01-02 23:30:00,7442.42,58.95
NSW1,2020-01-03 00:00:00,7279.42,56.25
NSW1,2020-01-03 00:30:00,7090.53,61.6
NSW1,2020-01-03 01:00:00,6867.55,52.86
NSW1,2020-01-03 01:30:00,6607.01,46.07
NSW1,2020-01-03 02:00:00,6379.64,48.51
NSW1,2020-01-03 02:30:00,6263.72,50.09
NSW1,2020-01-03 03:00:00,6238.67,46.13
NSW1,2020-01-03 03:30:00,6228.45,49.59
NSW1,2020-01-03 04:00:00,6217.33,48.54
NSW1,2020-01-03 04:30:00,6366.53,48.51
NSW1,2020-01-03 05:00:00,6427.33,43.6
NSW1,2020-01-03 05:30:00,6646.19,47.27
NSW1,2020-01-03 06:00:00,6870.32,50.1
NSW1,2020-01-03 06:30:00,7129.26,48.65
NSW1,2020-01-03 07:00:00,7331.01,49.04
NSW1,2020-01-03 07:30:00,7507.61,44.51
NSW1,2020-01-03 08:00:00,7662.33,43.09
NSW1,2020-01-03 08:30:00,7780.29,43.73
NSW1,2020-01-03 09:00:00,7827.08,46.93
NSW1,2020-01-03 09:30:00,7910.03,47.63
NSW1,2020-01-03 10:00:00,8029.42,46.72
NSW1,2020-01-03 10:30:00,8185.24,47.7
NSW1,2020-01-03 11:00:00,8325.86,50.71
NSW1,2020-01-03 11:30:00,8561.79,61.56
NSW1,2020-01-03 12:00:00,8779.78,57.37
NSW1,2020-01-03 12:30:00,9001.77,62.89
NSW1,2020-01-03 13:00:00,9209.42,63.6
NSW1,2020-01-03 13:30:00,9450.23,67.42
NSW1,2020-01-03 14:00:00,9718.05,69.55
NSW1,2020-01-03 14:30:00,9989.26,75.95
NSW1,2020-01-03 15:00:00,10190.21,62.64
NSW1,2020-01-03 15:30:00,10432.6,60.8
NSW1,2020-01-03 16:00:00,10668.5,66.21
NSW1,2020-01-03 16:30:00,10789.24,76.43
NSW1,2020-01-03 17:00:00,10858.09,75.77
NSW1,2020-01-03 17:30:00,10713.52,74.07
NSW1,2020-01-03 18:00:00,10647.08,90.51
NSW1,2020-01-03 18:30:00,10388.36,82.13
NSW1,2020-01-03 19:00:00,10160.62,90.87
NSW1,2020-01-03 19:30:00,9950.09,79.13
NSW1,2020-01-03 20:00:00,9776.93,78.29
NSW1,2020-01-03 20:30:00,9516.29,67.33
NSW1,2020-01-03 21:00:00,9211.98,69.47
NSW1,2020-01-03 21:30:00,8981.35,62.64
NSW1,2020-01-03 22:00:00,8719.7,55.89
NSW1,2020-01-03 22:30:00,8570.59,62.59
NSW1,2020-01-03 23:00:00,8246.02,58.51
NSW1,2020-01-03 23:30:00,7964.58,56.44
NSW1,2020-01-04 00:00:00,7746.15,49.85
NSW1,2020-01-04 00:30:00,7535.36,53.57
NSW1,2020-01-04 01:00:00,7307.37,49.79
NSW1,2020-01-04 01:30:00,7000.25,47.99
NSW1,2020-01-04 02:00:00,6779.59,47.22
NSW1,2020-01-04 02:30:00,6624.14,44.65
NSW1,2020-01-04 03:00:00,6536.29,45.37
NSW1,2020-01-04 03:30:00,6495.37,48.58
NSW1,2020-01-04 04:00:00,6470.78,48.81
NSW1,2020-01-04 04:30:00,6485.3,46.32
NSW1,2020-01-04 05:00:00,6480.8,44.8
NSW1,2020-01-04 05:30:00,6557.64,43.32
NSW1,2020-01-04 06:00:00,6633.56,43.75
