region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,adwin,daily_weekly_adjusted,1,63,2020-03-02 07:30:00,-80.88778761061803
NSW1,adwin,daily_weekly_adjusted,2,127,2020-03-03 15:30:00,-132.46769911504452
NSW1,adwin,daily_weekly_adjusted,3,191,2020-03-04 23:30:00,-504.9747787610622
NSW1,adwin,daily_weekly_adjusted,4,255,2020-03-06 07:30:00,-160.7474336283176
NSW1,adwin,daily_weekly_adjusted,5,287,2020-03-06 23:30:00,-766.6580530973451
NSW1,adwin,daily_weekly_adjusted,6,479,2020-03-10 23:30:00,-760.6915044247789
NSW1,adwin,daily_weekly_adjusted,7,607,2020-03-13 15:30:00,-1001.8074336283189
NSW1,adwin,daily_weekly_adjusted,8,735,2020-03-16 07:30:00,-349.40778761061847
NSW1,adwin,daily_weekly_adjusted,9,831,2020-03-18 07:30:00,-690.2278761061943
NSW1,adwin,daily_weekly_adjusted,10,895,2020-03-19 15:30:00,-38.15504424778737
NSW1,adwin,daily_weekly_adjusted,11,959,2020-03-20 23:30:00,-523.7480530973453
NSW1,adwin,daily_weekly_adjusted,12,991,2020-03-21 15:30:00,-828.8872566371683
NSW1,adwin,daily_weekly_adjusted,13,1119,2020-03-24 07:30:00,-807.8653982300893
NSW1,adwin,daily_weekly_adjusted,14,1183,2020-03-25 15:30:00,-620.250707964603
NSW1,adwin,daily_weekly_adjusted,15,1343,2020-03-28 23:30:00,-872.5230973451335
NSW1,adwin,daily_weekly_adjusted,16,1439,2020-03-30 23:30:00,-763.8227433628317
NSW1,adwin,daily_weekly_adjusted,17,1471,2020-03-31 15:30:00,-1222.8776991150444
NSW1,adwin,daily_weekly_adjusted,18,1567,2020-04-02 15:30:00,-820.9350442477862
NSW1,adwin,daily_weekly_adjusted,19,1663,2020-04-04 15:30:00,-1540.0272566371677
NSW1,adwin,daily_weekly_adjusted,20,1791,2020-04-07 07:30:00,-1501.9453982300893
NSW1,adwin,daily_weekly_adjusted,21,1855,2020-04-08 15:30:00,-1085.6607079646028
NSW1,adwin,daily_weekly_adjusted,22,1951,2020-04-10 15:30:00,-2066.017433628319
NSW1,adwin,daily_weekly_adjusted,23,2111,2020-04-13 23:30:00,-831.4727433628323
NSW1,adwin,daily_weekly_adjusted,24,2143,2020-04-14 15:30:00,-1793.6276991150444
NSW1,adwin,daily_weekly_adjusted,25,2303,2020-04-17 23:30:00,-834.0780530973452
NSW1,adwin,daily_weekly_adjusted,26,2335,2020-04-18 15:30:00,-1580.7172566371682
NSW1,adwin,daily_weekly_adjusted,27,2495,2020-04-21 23:30:00,-625.0115044247786
NSW1,adwin,daily_weekly_adjusted,28,2527,2020-04-22 15:30:00,-1566.7707079646034
NSW1,adwin,daily_weekly_adjusted,29,2591,2020-04-23 23:30:00,-698.8615929203534
NSW1,adwin,daily_weekly_adjusted,30,2623,2020-04-24 15:30:00,-1488.5374336283194
NSW1,adwin,daily_weekly_adjusted,31,2687,2020-04-25 23:30:00,-799.583097345133
