region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,adwin,raw_30min,1,95,2020-03-02 23:30:00,7515.62
NSW1,adwin,raw_30min,2,127,2020-03-03 15:30:00,8640.65
NSW1,adwin,raw_30min,3,319,2020-03-07 15:30:00,7049.47
NSW1,adwin,raw_30min,4,351,2020-03-08 07:30:00,6553.42
NSW1,adwin,raw_30min,5,415,2020-03-09 15:30:00,7605.26
NSW1,adwin,raw_30min,6,639,2020-03-14 07:30:00,7073.73
NSW1,adwin,raw_30min,7,703,2020-03-15 15:30:00,6707.08
NSW1,adwin,raw_30min,8,959,2020-03-20 23:30:00,7423.69
NSW1,adwin,raw_30min,9,1023,2020-03-22 07:30:00,6513.82
NSW1,adwin,raw_30min,10,1311,2020-03-28 07:30:00,6691.67
NSW1,adwin,raw_30min,11,1375,2020-03-29 15:30:00,6795.46
NSW1,adwin,raw_30min,12,1439,2020-03-30 23:30:00,7084.81
NSW1,adwin,raw_30min,13,1663,2020-04-04 15:30:00,6414.34
NSW1,adwin,raw_30min,14,1695,2020-04-05 07:30:00,5950.57
NSW1,adwin,raw_30min,15,1727,2020-04-05 23:30:00,6620.54
NSW1,adwin,raw_30min,16,1823,2020-04-07 23:30:00,7254.83
NSW1,adwin,raw_30min,17,1951,2020-04-10 15:30:00,6591.81
NSW1,adwin,raw_30min,18,2047,2020-04-12 15:30:00,5926.18
NSW1,adwin,raw_30min,19,2207,2020-04-15 23:30:00,7195.83
NSW1,adwin,raw_30min,20,2335,2020-04-18 15:30:00,6373.65
NSW1,adwin,raw_30min,21,2463,2020-04-21 07:30:00,7132.39
NSW1,adwin,raw_30min,22,2527,2020-04-22 15:30:00,6985.94
NSW1,adwin,raw_30min,23,2687,2020-04-25 23:30:00,6745.51
NSW1,adwin,raw_30min,24,2751,2020-04-27 07:30:00,7079.42
NSW1,adwin,raw_30min,25,2815,2020-04-28 15:30:00,7415.02
NSW1,adwin,raw_30min,26,2975,2020-05-01 23:30:00,7916.47
NSW1,adwin,raw_30min,27,3135,2020-05-05 07:30:00,8062.61
NSW1,adwin,raw_30min,28,3295,2020-05-08 15:30:00,7074.28
NSW1,adwin,raw_30min,29,3391,2020-05-10 15:30:00,6501.77
NSW1,adwin,raw_30min,30,3679,2020-05-16 15:30:00,7252.08
NSW1,adwin,raw_30min,31,3935,2020-05-21 23:30:00,8224.38
NSW1,adwin,raw_30min,32,4063,2020-05-24 15:30:00,7789.12
NSW1,adwin,raw_30min,33,4351,2020-05-30 15:30:00,7065.62
NSW1,adwin,raw_30min,34,4383,2020-05-31 07:30:00,6729.93
NSW1,adwin,raw_30min,35,4511,2020-06-02 23:30:00,8493.76
