region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,kswin,daily_weekly_adjusted,1,301,2020-03-07 06:30:00,-196.73495575221295
NSW1,kswin,daily_weekly_adjusted,2,617,2020-03-13 20:30:00,-958.6815044247787
NSW1,kswin,daily_weekly_adjusted,3,917,2020-03-20 02:30:00,-567.9115929203545
NSW1,kswin,daily_weekly_adjusted,4,1234,2020-03-26 17:00:00,-1130.9949557522123
NSW1,kswin,daily_weekly_adjusted,5,1537,2020-04-02 00:30:00,-649.5772566371688
NSW1,kswin,daily_weekly_adjusted,6,1837,2020-04-08 06:30:00,-1288.8038938053096
NSW1,kswin,daily_weekly_adjusted,7,2137,2020-04-14 12:30:00,-1878.9372566371685
NSW1,kswin,daily_weekly_adjusted,8,2437,2020-04-20 18:30:00,-781.2580530973446
NSW1,kswin,daily_weekly_adjusted,9,2738,2020-04-27 01:00:00,-474.20920353982274
NSW1,kswin,daily_weekly_adjusted,10,3038,2020-05-03 07:00:00,-259.12214285714253
NSW1,kswin,daily_weekly_adjusted,11,3339,2020-05-09 13:30:00,-989.189115044248
NSW1,kswin,daily_weekly_adjusted,12,3640,2020-05-15 20:00:00,518.7895575221246
NSW1,kswin,daily_weekly_adjusted,13,3943,2020-05-22 03:30:00,152.7265486725655
NSW1,kswin,daily_weekly_adjusted,14,4267,2020-05-28 21:30:00,142.08132743362876
NSW1,kswin,daily_weekly_adjusted,15,4567,2020-06-04 03:30:00,409.1453982300891
NSW1,kswin,daily_weekly_adjusted,16,4923,2020-06-11 13:30:00,-803.4421238938057
NSW1,kswin,daily_weekly_adjusted,17,5224,2020-06-17 20:00:00,1148.7955752212401
NSW1,kswin,daily_weekly_adjusted,18,5524,2020-06-24 02:00:00,945.4342477876116
NSW1,kswin,daily_weekly_adjusted,19,5924,2020-07-02 10:00:00,100.8452212389384
NSW1,kswin,daily_weekly_adjusted,20,6224,2020-07-08 16:00:00,610.5504424778755
NSW1,kswin,daily_weekly_adjusted,21,6716,2020-07-18 22:00:00,1043.6757522123899
NSW1,kswin,daily_weekly_adjusted,22,7041,2020-07-25 16:30:00,1010.1437168141601
NSW1,kswin,daily_weekly_adjusted,23,7526,2020-08-04 19:00:00,1045.7553982300888
NSW1,kswin,daily_weekly_adjusted,24,7869,2020-08-11 22:30:00,960.2127433628302
NSW1,kswin,daily_weekly_adjusted,25,8206,2020-08-18 23:00:00,127.20787610619391
NSW1,kswin,daily_weekly_adjusted,26,8508,2020-08-25 06:00:00,509.1093805309738
NSW1,kswin,daily_weekly_adjusted,27,8808,2020-08-31 12:00:00,-1650.3873451327445
NSW1,kswin,daily_weekly_adjusted,28,9212,2020-09-08 22:00:00,-621.2495575221237
NSW1,kswin,daily_weekly_adjusted,29,9512,2020-09-15 04:00:00,-340.9874336283192
