region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,kswin,raw_30min,1,301,2020-03-07 06:30:00,6750.24
NSW1,kswin,raw_30min,2,656,2020-03-14 16:00:00,7311.43
NSW1,kswin,raw_30min,3,956,2020-03-20 22:00:00,7933.95
NSW1,kswin,raw_30min,4,1310,2020-03-28 07:00:00,6548.96
NSW1,kswin,raw_30min,5,1635,2020-04-04 01:30:00,6430.69
NSW1,kswin,raw_30min,6,1935,2020-04-10 07:30:00,6230.9
NSW1,kswin,raw_30min,7,2235,2020-04-16 13:30:00,7243.37
NSW1,kswin,raw_30min,8,2560,2020-04-23 08:00:00,7199.48
NSW1,kswin,raw_30min,9,2860,2020-04-29 14:00:00,7487.69
NSW1,kswin,raw_30min,10,3307,2020-05-08 21:30:00,7413.46
NSW1,kswin,raw_30min,11,3607,2020-05-15 03:30:00,6549.77
NSW1,kswin,raw_30min,12,3934,2020-05-21 23:00:00,8294.7
NSW1,kswin,raw_30min,13,4325,2020-05-30 02:30:00,6971.24
NSW1,kswin,raw_30min,14,4625,2020-06-05 08:30:00,10348.7
NSW1,kswin,raw_30min,15,4998,2020-06-13 03:00:00,6814.33
NSW1,kswin,raw_30min,16,5373,2020-06-20 22:30:00,8280.78
NSW1,kswin,raw_30min,17,5710,2020-06-27 23:00:00,8792.78
NSW1,kswin,raw_30min,18,6071,2020-07-05 11:30:00,7366.24
NSW1,kswin,raw_30min,19,6385,2020-07-12 00:30:00,7912.25
NSW1,kswin,raw_30min,20,6703,2020-07-18 15:30:00,7616.61
NSW1,kswin,raw_30min,21,7076,2020-07-26 10:00:00,9045.29
NSW1,kswin,raw_30min,22,7407,2020-08-02 07:30:00,7988.66
NSW1,kswin,raw_30min,23,7722,2020-08-08 21:00:00,9401.19
NSW1,kswin,raw_30min,24,8046,2020-08-15 15:00:00,7340.27
NSW1,kswin,raw_30min,25,8347,2020-08-21 21:30:00,9391.7
NSW1,kswin,raw_30min,26,8704,2020-08-29 08:00:00,8230.73
