region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,page_hinkley,daily_mean_complete_days,1,29,2020-03-30,7234.941875
NSW1,page_hinkley,daily_mean_complete_days,2,59,2020-04-29,7267.887291666667
NSW1,page_hinkley,daily_mean_complete_days,3,89,2020-05-29,8336.169583333334
NSW1,page_hinkley,daily_mean_complete_days,4,119,2020-06-28,8313.517916666666
NSW1,page_hinkley,daily_mean_complete_days,5,149,2020-07-28,8708.144375
NSW1,page_hinkley,daily_mean_complete_days,6,179,2020-08-27,8383.492708333333
NSW1,page_hinkley,daily_mean_complete_days,7,209,2020-09-26,7008.100833333334
NSW1,page_hinkley,daily_mean_complete_days,8,239,2020-10-26,7690.424583333333
NSW1,page_hinkley,daily_mean_complete_days,9,269,2020-11-25,7299.445833333334
NSW1,page_hinkley,daily_mean_complete_days,10,299,2020-12-25,6043.796249999999
NSW1,page_hinkley,daily_mean_complete_days,11,329,2021-01-24,8630.126875
NSW1,page_hinkley,daily_mean_complete_days,12,359,2021-02-23,7541.6170833333335
NSW1,page_hinkley,daily_mean_complete_days,13,389,2021-03-25,7231.571458333333
NSW1,page_hinkley,daily_mean_complete_days,14,419,2021-04-24,7012.099375000001
NSW1,page_hinkley,daily_mean_complete_days,15,449,2021-05-24,8157.531458333334
NSW1,page_hinkley,daily_mean_complete_days,16,479,2021-06-23,9067.195833333333
NSW1,page_hinkley,daily_mean_complete_days,17,509,2021-07-23,9353.732916666666
NSW1,page_hinkley,daily_mean_complete_days,18,539,2021-08-22,6639.216666666667
NSW1,page_hinkley,daily_mean_complete_days,19,569,2021-09-21,7482.595625000001
NSW1,page_hinkley,daily_mean_complete_days,20,599,2021-10-21,7009.6502083333335
NSW1,page_hinkley,daily_mean_complete_days,21,629,2021-11-20,6808.930034722222
NSW1,page_hinkley,daily_mean_complete_days,22,659,2021-12-20,8094.237222222222
NSW1,page_hinkley,daily_mean_complete_days,23,689,2022-01-19,7504.416006944444
NSW1,page_hinkley,daily_mean_complete_days,24,719,2022-02-18,8023.116979166666
NSW1,page_hinkley,daily_mean_complete_days,25,749,2022-03-20,6485.8874305555555
NSW1,page_hinkley,daily_mean_complete_days,26,779,2022-04-19,7142.6765625
NSW1,page_hinkley,daily_mean_complete_days,27,809,2022-05-19,8318.355381944444
NSW1,page_hinkley,daily_mean_complete_days,28,839,2022-06-18,8172.588611111111
NSW1,page_hinkley,daily_mean_complete_days,29,869,2022-07-18,8824.74142361111
NSW1,page_hinkley,daily_mean_complete_days,30,899,2022-08-17,8350.177152777778
NSW1,page_hinkley,daily_mean_complete_days,31,929,2022-09-16,7296.112743055556
NSW1,page_hinkley,daily_mean_complete_days,32,959,2022-10-16,6246.089201388889
NSW1,page_hinkley,daily_mean_complete_days,33,989,2022-11-15,6799.505138888889
NSW1,page_hinkley,daily_mean_complete_days,34,1019,2022-12-15,6639.050138888889
NSW1,page_hinkley,daily_mean_complete_days,35,1049,2023-01-14,7035.932152777778
NSW1,page_hinkley,daily_mean_complete_days,36,1079,2023-02-13,7497.136909722222
NSW1,page_hinkley,daily_mean_complete_days,37,1109,2023-03-15,7735.697291666666
NSW1,page_hinkley,daily_mean_complete_days,38,1139,2023-04-14,7191.142569444444
NSW1,page_hinkley,daily_mean_complete_days,39,1169,2023-05-14,7239.972534722222
NSW1,page_hinkley,daily_mean_complete_days,40,1199,2023-06-13,8490.677638888888
NSW1,page_hinkley,daily_mean_complete_days,41,1229,2023-07-13,8334.063923611111
NSW1,page_hinkley,daily_mean_complete_days,42,1259,2023-08-12,7499.919722222222
NSW1,page_hinkley,daily_mean_complete_days,43,1289,2023-09-11,7346.779791666667
NSW1,page_hinkley,daily_mean_complete_days,44,1319,2023-10-11,6536.6544791666665
NSW1,page_hinkley,daily_mean_complete_days,45,1349,2023-11-10,6852.285243055555
NSW1,page_hinkley,daily_mean_complete_days,46,1379,2023-12-10,7530.016666666666
