region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,page_hinkley,daily_weekly_adjusted,1,29,2020-03-01 14:30:00,513.7506250000006
NSW1,page_hinkley,daily_weekly_adjusted,2,59,2020-03-02 05:30:00,246.12592920354018
NSW1,page_hinkley,daily_weekly_adjusted,3,89,2020-03-02 20:30:00,-135.99203539823066
NSW1,page_hinkley,daily_weekly_adjusted,4,119,2020-03-03 11:30:00,223.8109734513273
NSW1,page_hinkley,daily_weekly_adjusted,5,149,2020-03-04 02:30:00,-361.95539823008767
NSW1,page_hinkley,daily_weekly_adjusted,6,179,2020-03-04 17:30:00,-501.60725663716767
NSW1,page_hinkley,daily_weekly_adjusted,7,209,2020-03-05 08:30:00,205.59982300884985
NSW1,page_hinkley,daily_weekly_adjusted,8,239,2020-03-05 23:30:00,-475.2015929203535
NSW1,page_hinkley,daily_weekly_adjusted,9,269,2020-03-06 14:30:00,125.04115044247737
NSW1,page_hinkley,daily_weekly_adjusted,10,299,2020-03-07 05:30:00,-143.92707964601777
NSW1,page_hinkley,daily_weekly_adjusted,11,329,2020-03-07 20:30:00,-1118.23185840708
NSW1,page_hinkley,daily_weekly_adjusted,12,359,2020-03-08 11:30:00,-720.571249999999
NSW1,page_hinkley,daily_weekly_adjusted,13,389,2020-03-09 02:30:00,-514.3546902654862
NSW1,page_hinkley,daily_weekly_adjusted,14,419,2020-03-09 17:30:00,-1296.6725663716816
NSW1,page_hinkley,daily_weekly_adjusted,15,449,2020-03-10 08:30:00,-953.2639823008849
NSW1,page_hinkley,daily_weekly_adjusted,16,479,2020-03-10 23:30:00,-760.6915044247789
NSW1,page_hinkley,daily_weekly_adjusted,17,509,2020-03-11 14:30:00,-1000.755752212388
NSW1,page_hinkley,daily_weekly_adjusted,18,539,2020-03-12 05:30:00,-21.52221238938182
NSW1,page_hinkley,daily_weekly_adjusted,19,569,2020-03-12 20:30:00,-998.0585840707954
NSW1,page_hinkley,daily_weekly_adjusted,20,599,2020-03-13 11:30:00,-1211.0769911504412
NSW1,page_hinkley,daily_weekly_adjusted,21,629,2020-03-14 02:30:00,-598.9540707964597
NSW1,page_hinkley,daily_weekly_adjusted,22,659,2020-03-14 17:30:00,-1029.5723008849563
NSW1,page_hinkley,daily_weekly_adjusted,23,689,2020-03-15 08:30:00,-649.5308035714288
NSW1,page_hinkley,daily_weekly_adjusted,24,719,2020-03-15 23:30:00,-687.2275
NSW1,page_hinkley,daily_weekly_adjusted,25,749,2020-03-16 14:30:00,-1193.312920353982
NSW1,page_hinkley,daily_weekly_adjusted,26,779,2020-03-17 05:30:00,-91.6177876106185
NSW1,page_hinkley,daily_weekly_adjusted,27,809,2020-03-17 20:30:00,-1196.1520353982296
NSW1,page_hinkley,daily_weekly_adjusted,28,839,2020-03-18 11:30:00,-1344.7327433628316
NSW1,page_hinkley,daily_weekly_adjusted,29,869,2020-03-19 02:30:00,-611.8115044247788
NSW1,page_hinkley,daily_weekly_adjusted,30,899,2020-03-19 17:30:00,135.85141592920263
NSW1,page_hinkley,daily_weekly_adjusted,31,929,2020-03-20 08:30:00,-965.2815044247782
NSW1,page_hinkley,daily_weekly_adjusted,32,959,2020-03-20 23:30:00,-523.7480530973453
NSW1,page_hinkley,daily_weekly_adjusted,33,989,2020-03-21 14:30:00,-907.6961946902657
NSW1,page_hinkley,daily_weekly_adjusted,34,1019,2020-03-22 05:30:00,-263.6288392857141
NSW1,page_hinkley,daily_weekly_adjusted,35,1049,2020-03-22 20:30:00,-1005.5474999999997
NSW1,page_hinkley,daily_weekly_adjusted,36,1079,2020-03-23 11:30:00,-725.7317699115047
NSW1,page_hinkley,daily_weekly_adjusted,37,1109,2020-03-24 02:30:00,-619.6627433628319
NSW1,page_hinkley,daily_weekly_adjusted,38,1139,2020-03-24 17:30:00,-1175.023628318584
NSW1,page_hinkley,daily_weekly_adjusted,39,1169,2020-03-25 08:30:00,-1028.0011504424774
NSW1,page_hinkley,daily_weekly_adjusted,40,1199,2020-03-25 23:30:00,-758.5947787610621
NSW1,page_hinkley,daily_weekly_adjusted,41,1229,2020-03-26 14:30:00,-1230.1982300884947
NSW1,page_hinkley,daily_weekly_adjusted,42,1259,2020-03-27 05:30:00,-468.87185840707934
