region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
NSW1,page_hinkley,raw_30min,1,29,2020-03-01 14:30:00,7959.45
NSW1,page_hinkley,raw_30min,2,59,2020-03-02 05:30:00,7203.02
NSW1,page_hinkley,raw_30min,3,89,2020-03-02 20:30:00,8857.65
NSW1,page_hinkley,raw_30min,4,119,2020-03-03 11:30:00,8543.84
NSW1,page_hinkley,raw_30min,5,149,2020-03-04 02:30:00,6316.56
NSW1,page_hinkley,raw_30min,6,179,2020-03-04 17:30:00,8754.01
NSW1,page_hinkley,raw_30min,7,209,2020-03-05 08:30:00,8884.7
NSW1,page_hinkley,raw_30min,8,239,2020-03-05 23:30:00,7443.43
NSW1,page_hinkley,raw_30min,9,269,2020-03-06 14:30:00,8554.68
NSW1,page_hinkley,raw_30min,10,299,2020-03-07 05:30:00,6407.11
NSW1,page_hinkley,raw_30min,11,329,2020-03-07 20:30:00,7290.73
NSW1,page_hinkley,raw_30min,12,359,2020-03-08 11:30:00,6610.52
NSW1,page_hinkley,raw_30min,13,389,2020-03-09 02:30:00,5853.22
NSW1,page_hinkley,raw_30min,14,419,2020-03-09 17:30:00,8129.37
NSW1,page_hinkley,raw_30min,15,449,2020-03-10 08:30:00,7768.01
NSW1,page_hinkley,raw_30min,16,479,2020-03-10 23:30:00,7105.11
NSW1,page_hinkley,raw_30min,17,509,2020-03-11 14:30:00,7336.09
NSW1,page_hinkley,raw_30min,18,539,2020-03-12 05:30:00,7137.86
NSW1,page_hinkley,raw_30min,19,569,2020-03-12 20:30:00,8053.93
NSW1,page_hinkley,raw_30min,20,599,2020-03-13 11:30:00,7105.52
NSW1,page_hinkley,raw_30min,21,629,2020-03-14 02:30:00,6044.81
NSW1,page_hinkley,raw_30min,22,659,2020-03-14 17:30:00,7627.0
NSW1,page_hinkley,raw_30min,23,689,2020-03-15 08:30:00,6758.86
NSW1,page_hinkley,raw_30min,24,719,2020-03-15 23:30:00,6680.95
NSW1,page_hinkley,raw_30min,25,749,2020-03-16 14:30:00,7239.89
NSW1,page_hinkley,raw_30min,26,779,2020-03-17 05:30:00,7063.06
NSW1,page_hinkley,raw_30min,27,809,2020-03-17 20:30:00,7868.28
NSW1,page_hinkley,raw_30min,28,839,2020-03-18 11:30:00,6863.64
NSW1,page_hinkley,raw_30min,29,869,2020-03-19 02:30:00,6057.17
NSW1,page_hinkley,raw_30min,30,899,2020-03-19 17:30:00,9520.06
NSW1,page_hinkley,raw_30min,31,929,2020-03-20 08:30:00,7731.77
NSW1,page_hinkley,raw_30min,32,959,2020-03-20 23:30:00,7423.69
NSW1,page_hinkley,raw_30min,33,989,2020-03-21 14:30:00,6812.99
NSW1,page_hinkley,raw_30min,34,1019,2020-03-22 05:30:00,6021.46
NSW1,page_hinkley,raw_30min,35,1049,2020-03-22 20:30:00,7472.54
NSW1,page_hinkley,raw_30min,36,1079,2020-03-23 11:30:00,7521.75
NSW1,page_hinkley,raw_30min,37,1109,2020-03-24 02:30:00,6061.69
NSW1,page_hinkley,raw_30min,38,1139,2020-03-24 17:30:00,8297.96
NSW1,page_hinkley,raw_30min,39,1169,2020-03-25 08:30:00,7614.54
NSW1,page_hinkley,raw_30min,40,1199,2020-03-25 23:30:00,7069.78
NSW1,page_hinkley,raw_30min,41,1229,2020-03-26 14:30:00,7216.22
NSW1,page_hinkley,raw_30min,42,1259,2020-03-27 05:30:00,6681.96
NSW1,page_hinkley,raw_30min,43,1289,2020-03-27 20:30:00,7242.78
NSW1,page_hinkley,raw_30min,44,1319,2020-03-28 11:30:00,6478.54
NSW1,page_hinkley,raw_30min,45,1349,2020-03-29 02:30:00,5686.67
NSW1,page_hinkley,raw_30min,46,1379,2020-03-29 17:30:00,7772.38
NSW1,page_hinkley,raw_30min,47,1409,2020-03-30 08:30:00,7853.23
NSW1,page_hinkley,raw_30min,48,1439,2020-03-30 23:30:00,7084.81
NSW1,page_hinkley,raw_30min,49,1469,2020-03-31 14:30:00,7273.58
NSW1,page_hinkley,raw_30min,50,1499,2020-04-01 05:30:00,6643.05
NSW1,page_hinkley,raw_30min,51,1529,2020-04-01 20:30:00,7645.67
NSW1,page_hinkley,raw_30min,52,1559,2020-04-02 11:30:00,7725.36
NSW1,page_hinkley,raw_30min,53,1589,2020-04-03 02:30:00,5914.38
NSW1,page_hinkley,raw_30min,54,1619,2020-04-03 17:30:00,8391.14
NSW1,page_hinkley,raw_30min,55,1649,2020-04-04 08:30:00,7078.67
NSW1,page_hinkley,raw_30min,56,1679,2020-04-04 23:30:00,6409.76
NSW1,page_hinkley,raw_30min,57,1709,2020-04-05 14:30:00,5824.85
NSW1,page_hinkley,raw_30min,58,1739,2020-04-06 05:30:00,6003.95
NSW1,page_hinkley,raw_30min,59,1769,2020-04-06 20:30:00,7738.69
NSW1,page_hinkley,raw_30min,60,1799,2020-04-07 11:30:00,7027.4
NSW1,page_hinkley,raw_30min,61,1829,2020-04-08 02:30:00,6273.33
NSW1,page_hinkley,raw_30min,62,1859,2020-04-08 17:30:00,8178.54
NSW1,page_hinkley,raw_30min,63,1889,2020-04-09 08:30:00,7376.72
NSW1,page_hinkley,raw_30min,64,1919,2020-04-09 23:30:00,7240.66
NSW1,page_hinkley,raw_30min,65,1949,2020-04-10 14:30:00,6373.19
