region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,adwin,daily_weekly_adjusted,1,63,2020-03-02 07:30:00,-62.03044247787602
SA1,adwin,daily_weekly_adjusted,2,127,2020-03-03 15:30:00,-236.7161946902654
SA1,adwin,daily_weekly_adjusted,3,223,2020-03-05 15:30:00,-189.8504424778762
SA1,adwin,daily_weekly_adjusted,4,255,2020-03-06 07:30:00,41.46495575221206
SA1,adwin,daily_weekly_adjusted,5,383,2020-03-08 23:30:00,-192.62080357142872
SA1,adwin,daily_weekly_adjusted,6,415,2020-03-09 15:30:00,-480.15840707964594
SA1,adwin,daily_weekly_adjusted,7,447,2020-03-10 07:30:00,-41.006194690265374
SA1,adwin,daily_weekly_adjusted,8,511,2020-03-11 15:30:00,154.1161946902655
SA1,adwin,daily_weekly_adjusted,9,607,2020-03-13 15:30:00,-435.8825663716815
SA1,adwin,daily_weekly_adjusted,10,639,2020-03-14 07:30:00,-44.62911504424801
SA1,adwin,daily_weekly_adjusted,11,735,2020-03-16 07:30:00,82.75955752212394
SA1,adwin,daily_weekly_adjusted,12,799,2020-03-17 15:30:00,201.9138053097347
SA1,adwin,daily_weekly_adjusted,13,863,2020-03-18 23:30:00,101.65274336283187
SA1,adwin,daily_weekly_adjusted,14,927,2020-03-20 07:30:00,51.21495575221206
SA1,adwin,daily_weekly_adjusted,15,1023,2020-03-22 07:30:00,0.046428571428577925
SA1,adwin,daily_weekly_adjusted,16,1151,2020-03-24 23:30:00,-133.53637168141586
SA1,adwin,daily_weekly_adjusted,17,1183,2020-03-25 15:30:00,-614.5338053097345
SA1,adwin,daily_weekly_adjusted,18,1311,2020-03-28 07:30:00,-107.85911504424803
SA1,adwin,daily_weekly_adjusted,19,1375,2020-03-29 15:30:00,-254.18678571428563
SA1,adwin,daily_weekly_adjusted,20,1407,2020-03-30 07:30:00,102.83955752212387
SA1,adwin,daily_weekly_adjusted,21,1535,2020-04-01 23:30:00,-103.58725663716814
SA1,adwin,daily_weekly_adjusted,22,1567,2020-04-02 15:30:00,-379.0704424778761
SA1,adwin,daily_weekly_adjusted,23,1599,2020-04-03 07:30:00,-90.28504424778794
SA1,adwin,daily_weekly_adjusted,24,1663,2020-04-04 15:30:00,-251.58318584070798
SA1,adwin,daily_weekly_adjusted,25,1759,2020-04-06 15:30:00,-227.62840707964585
SA1,adwin,daily_weekly_adjusted,26,1823,2020-04-07 23:30:00,-50.19637168141594
SA1,adwin,daily_weekly_adjusted,27,1855,2020-04-08 15:30:00,-497.05380530973446
SA1,adwin,daily_weekly_adjusted,28,1951,2020-04-10 15:30:00,-537.6825663716816
SA1,adwin,daily_weekly_adjusted,29,1983,2020-04-11 07:30:00,-270.6191150442479
SA1,adwin,daily_weekly_adjusted,30,2047,2020-04-12 15:30:00,-378.78678571428554
SA1,adwin,daily_weekly_adjusted,31,2111,2020-04-13 23:30:00,-147.14628318584073
SA1,adwin,daily_weekly_adjusted,32,2143,2020-04-14 15:30:00,-232.8261946902653
SA1,adwin,daily_weekly_adjusted,33,2239,2020-04-16 15:30:00,-455.7004424778761
SA1,adwin,daily_weekly_adjusted,34,2303,2020-04-17 23:30:00,5.505929203539836
SA1,adwin,daily_weekly_adjusted,35,2399,2020-04-19 23:30:00,-136.9008035714287
SA1,adwin,daily_weekly_adjusted,36,2463,2020-04-21 07:30:00,-146.37619469026527
SA1,adwin,daily_weekly_adjusted,37,2527,2020-04-22 15:30:00,-311.7538053097344
SA1,adwin,daily_weekly_adjusted,38,2623,2020-04-24 15:30:00,-389.8525663716815
SA1,adwin,daily_weekly_adjusted,39,2687,2020-04-25 23:30:00,34.47053097345133
SA1,adwin,daily_weekly_adjusted,40,2815,2020-04-28 15:30:00,139.95380530973466
SA1,adwin,daily_weekly_adjusted,41,2911,2020-04-30 15:30:00,-166.63044247787616
SA1,adwin,daily_weekly_adjusted,42,3007,2020-05-02 15:30:00,-201.11318584070796
SA1,adwin,daily_weekly_adjusted,43,3071,2020-05-03 23:30:00,119.32919642857132
SA1,adwin,daily_weekly_adjusted,44,3167,2020-05-05 23:30:00,-68.85637168141602
SA1,adwin,daily_weekly_adjusted,45,3231,2020-05-07 07:30:00,-151.95619469026565
SA1,adwin,daily_weekly_adjusted,46,3295,2020-05-08 15:30:00,-354.4025663716815
SA1,adwin,daily_weekly_adjusted,47,3359,2020-05-09 23:30:00,47.73053097345132
SA1,adwin,daily_weekly_adjusted,48,3487,2020-05-12 15:30:00,-192.69619469026532
SA1,adwin,daily_weekly_adjusted,49,3551,2020-05-13 23:30:00,146.19274336283183
SA1,adwin,daily_weekly_adjusted,50,3679,2020-05-16 15:30:00,-204.23318584070796
SA1,adwin,daily_weekly_adjusted,51,3775,2020-05-18 15:30:00,-194.53840707964582
SA1,adwin,daily_weekly_adjusted,52,3903,2020-05-21 07:30:00,-9.966194690265638
SA1,adwin,daily_weekly_adjusted,53,3967,2020-05-22 15:30:00,231.58743362831842
SA1,adwin,daily_weekly_adjusted,54,4063,2020-05-24 15:30:00,289.31321428571437
SA1,adwin,daily_weekly_adjusted,55,4191,2020-05-27 07:30:00,34.043097345132765
SA1,adwin,daily_weekly_adjusted,56,4319,2020-05-29 23:30:00,-31.384070796460037
SA1,adwin,daily_weekly_adjusted,57,4383,2020-05-31 07:30:00,71.05642857142857
SA1,adwin,daily_weekly_adjusted,58,4447,2020-06-01 15:30:00,17.181592920354205
SA1,adwin,daily_weekly_adjusted,59,4607,2020-06-04 23:30:00,274.09778761061943
