region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,adwin,raw_30min,1,159,2020-03-04 07:30:00,1347.61
SA1,adwin,raw_30min,2,319,2020-03-07 15:30:00,553.01
SA1,adwin,raw_30min,3,447,2020-03-10 07:30:00,1353.83
SA1,adwin,raw_30min,4,511,2020-03-11 15:30:00,1424.07
SA1,adwin,raw_30min,5,607,2020-03-13 15:30:00,825.86
SA1,adwin,raw_30min,6,703,2020-03-15 15:30:00,538.87
SA1,adwin,raw_30min,7,767,2020-03-16 23:30:00,1274.87
SA1,adwin,raw_30min,8,831,2020-03-18 07:30:00,1522.66
SA1,adwin,raw_30min,9,927,2020-03-20 07:30:00,1465.11
SA1,adwin,raw_30min,10,991,2020-03-21 15:30:00,792.17
SA1,adwin,raw_30min,11,1055,2020-03-22 23:30:00,1146.84
SA1,adwin,raw_30min,12,1151,2020-03-24 23:30:00,1210.18
SA1,adwin,raw_30min,13,1183,2020-03-25 15:30:00,655.42
SA1,adwin,raw_30min,14,1375,2020-03-29 15:30:00,777.29
SA1,adwin,raw_30min,15,1535,2020-04-01 23:30:00,1256.17
SA1,adwin,raw_30min,16,1567,2020-04-02 15:30:00,906.34
SA1,adwin,raw_30min,17,1663,2020-04-04 15:30:00,778.8
SA1,adwin,raw_30min,18,1759,2020-04-06 15:30:00,996.34
SA1,adwin,raw_30min,19,1855,2020-04-08 15:30:00,772.9
SA1,adwin,raw_30min,20,1951,2020-04-10 15:30:00,724.06
SA1,adwin,raw_30min,21,2207,2020-04-15 23:30:00,1359.11
SA1,adwin,raw_30min,22,2303,2020-04-17 23:30:00,1352.57
SA1,adwin,raw_30min,23,2463,2020-04-21 07:30:00,1248.46
SA1,adwin,raw_30min,24,2559,2020-04-23 07:30:00,1260.01
SA1,adwin,raw_30min,25,2623,2020-04-24 15:30:00,871.89
SA1,adwin,raw_30min,26,2719,2020-04-26 15:30:00,669.21
SA1,adwin,raw_30min,27,2879,2020-04-29 23:30:00,1357.92
SA1,adwin,raw_30min,28,3007,2020-05-02 15:30:00,829.27
SA1,adwin,raw_30min,29,3071,2020-05-03 23:30:00,1389.0
SA1,adwin,raw_30min,30,3359,2020-05-09 23:30:00,1334.34
SA1,adwin,raw_30min,31,3423,2020-05-11 07:30:00,1539.88
SA1,adwin,raw_30min,32,3551,2020-05-13 23:30:00,1505.95
SA1,adwin,raw_30min,33,3679,2020-05-16 15:30:00,826.15
SA1,adwin,raw_30min,34,3935,2020-05-21 23:30:00,1499.55
SA1,adwin,raw_30min,35,3999,2020-05-23 07:30:00,1138.53
SA1,adwin,raw_30min,36,4095,2020-05-25 07:30:00,1610.91
SA1,adwin,raw_30min,37,4351,2020-05-30 15:30:00,1281.74
SA1,adwin,raw_30min,38,4479,2020-06-02 07:30:00,1453.33
SA1,adwin,raw_30min,39,4607,2020-06-04 23:30:00,1653.77
SA1,adwin,raw_30min,40,4799,2020-06-08 23:30:00,1649.71
SA1,adwin,raw_30min,41,5023,2020-06-13 15:30:00,1518.97
SA1,adwin,raw_30min,42,5119,2020-06-15 15:30:00,1212.95
SA1,adwin,raw_30min,43,5183,2020-06-16 23:30:00,1640.3
SA1,adwin,raw_30min,44,5311,2020-06-19 15:30:00,1581.06
SA1,adwin,raw_30min,45,5407,2020-06-21 15:30:00,1101.79
SA1,adwin,raw_30min,46,5695,2020-06-27 15:30:00,972.97
SA1,adwin,raw_30min,47,6143,2020-07-06 23:30:00,1606.12
SA1,adwin,raw_30min,48,6655,2020-07-17 15:30:00,928.27
SA1,adwin,raw_30min,49,6751,2020-07-19 15:30:00,931.17
SA1,adwin,raw_30min,50,6815,2020-07-20 23:30:00,1689.77
SA1,adwin,raw_30min,51,7039,2020-07-25 15:30:00,877.25
SA1,adwin,raw_30min,52,7199,2020-07-28 23:30:00,1707.0
SA1,adwin,raw_30min,53,7327,2020-07-31 15:30:00,1026.03
SA1,adwin,raw_30min,54,7487,2020-08-03 23:30:00,1426.88
SA1,adwin,raw_30min,55,7551,2020-08-05 07:30:00,1773.36
SA1,adwin,raw_30min,56,7679,2020-08-07 23:30:00,1657.89
SA1,adwin,raw_30min,57,7871,2020-08-11 23:30:00,1456.78
SA1,adwin,raw_30min,58,8095,2020-08-16 15:30:00,931.41
SA1,adwin,raw_30min,59,8191,2020-08-18 15:30:00,997.98
SA1,adwin,raw_30min,60,8383,2020-08-22 15:30:00,1052.01
SA1,adwin,raw_30min,61,8511,2020-08-25 07:30:00,1804.53
SA1,adwin,raw_30min,62,8735,2020-08-29 23:30:00,1120.98
SA1,adwin,raw_30min,63,8799,2020-08-31 07:30:00,1559.47
SA1,adwin,raw_30min,64,8863,2020-09-01 15:30:00,972.06
SA1,adwin,raw_30min,65,9055,2020-09-05 15:30:00,657.39
SA1,adwin,raw_30min,66,9119,2020-09-06 23:30:00,1110.56
SA1,adwin,raw_30min,67,9183,2020-09-08 07:30:00,1239.46
SA1,adwin,raw_30min,68,9247,2020-09-09 15:30:00,649.81
SA1,adwin,raw_30min,69,9439,2020-09-13 15:30:00,464.47
SA1,adwin,raw_30min,70,9535,2020-09-15 15:30:00,598.11
SA1,adwin,raw_30min,71,9727,2020-09-19 15:30:00,771.5
SA1,adwin,raw_30min,72,9887,2020-09-22 23:30:00,1260.5
SA1,adwin,raw_30min,73,9951,2020-09-24 07:30:00,1378.32
SA1,adwin,raw_30min,74,10111,2020-09-27 15:30:00,621.17
SA1,adwin,raw_30min,75,10239,2020-09-30 07:30:00,1299.59
SA1,adwin,raw_30min,76,10303,2020-10-01 15:30:00,693.08
SA1,adwin,raw_30min,77,10495,2020-10-05 15:30:00,740.8
SA1,adwin,raw_30min,78,10591,2020-10-07 15:30:00,1585.23
SA1,adwin,raw_30min,79,10623,2020-10-08 07:30:00,1420.89
SA1,adwin,raw_30min,80,10687,2020-10-09 15:30:00,568.25
SA1,adwin,raw_30min,81,10751,2020-10-10 23:30:00,1081.78
SA1,adwin,raw_30min,82,10783,2020-10-11 15:30:00,476.02
SA1,adwin,raw_30min,83,10879,2020-10-13 15:30:00,742.81
SA1,adwin,raw_30min,84,10975,2020-10-15 15:30:00,1296.13
SA1,adwin,raw_30min,85,11071,2020-10-17 15:30:00,570.65
SA1,adwin,raw_30min,86,11455,2020-10-25 15:30:00,755.7
SA1,adwin,raw_30min,87,11743,2020-10-31 15:30:00,906.35
SA1,adwin,raw_30min,88,11807,2020-11-01 23:30:00,1100.8
SA1,adwin,raw_30min,89,11839,2020-11-02 15:30:00,890.79
SA1,adwin,raw_30min,90,11903,2020-11-03 23:30:00,1251.15
SA1,adwin,raw_30min,91,12031,2020-11-06 15:30:00,608.35
SA1,adwin,raw_30min,92,12095,2020-11-07 23:30:00,1040.64
