region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,kswin,daily_weekly_adjusted,1,316,2020-03-07 14:00:00,-465.46053097345134
SA1,kswin,daily_weekly_adjusted,2,616,2020-03-13 20:00:00,-357.3743362831858
SA1,kswin,daily_weekly_adjusted,3,916,2020-03-20 02:00:00,-34.239823008849726
SA1,kswin,daily_weekly_adjusted,4,1216,2020-03-26 08:00:00,-56.68557522123888
SA1,kswin,daily_weekly_adjusted,5,1516,2020-04-01 14:00:00,165.91681415929224
SA1,kswin,daily_weekly_adjusted,6,1816,2020-04-07 20:00:00,-168.32017699115045
SA1,kswin,daily_weekly_adjusted,7,2127,2020-04-14 07:30:00,-269.01619469026537
SA1,kswin,daily_weekly_adjusted,8,2429,2020-04-20 14:30:00,-145.30734513274342
SA1,kswin,daily_weekly_adjusted,9,2816,2020-04-28 16:00:00,139.62867256637173
SA1,kswin,daily_weekly_adjusted,10,3116,2020-05-04 22:00:00,144.9438938053097
SA1,kswin,daily_weekly_adjusted,11,3416,2020-05-11 04:00:00,166.67911504424774
SA1,kswin,daily_weekly_adjusted,12,3717,2020-05-17 10:30:00,18.8651785714286
SA1,kswin,daily_weekly_adjusted,13,4048,2020-05-24 08:00:00,85.52901785714289
SA1,kswin,daily_weekly_adjusted,14,4348,2020-05-30 14:00:00,204.38946902654857
SA1,kswin,daily_weekly_adjusted,15,4649,2020-06-05 20:30:00,485.3137168141593
SA1,kswin,daily_weekly_adjusted,16,4980,2020-06-12 18:00:00,213.2469026548672
SA1,kswin,daily_weekly_adjusted,17,5280,2020-06-19 00:00:00,-37.70893805309743
SA1,kswin,daily_weekly_adjusted,18,5596,2020-06-25 14:00:00,-51.72247787610627
SA1,kswin,daily_weekly_adjusted,19,5896,2020-07-01 20:00:00,132.79424778761063
SA1,kswin,daily_weekly_adjusted,20,6196,2020-07-08 02:00:00,255.50646017699114
SA1,kswin,daily_weekly_adjusted,21,6579,2020-07-16 01:30:00,280.8171681415929
SA1,kswin,daily_weekly_adjusted,22,6879,2020-07-22 07:30:00,374.30309734513276
SA1,kswin,daily_weekly_adjusted,23,7187,2020-07-28 17:30:00,464.51460176991145
SA1,kswin,daily_weekly_adjusted,24,7494,2020-08-04 03:00:00,67.92221238938077
SA1,kswin,daily_weekly_adjusted,25,7812,2020-08-10 18:00:00,265.97283185840706
SA1,kswin,daily_weekly_adjusted,26,8113,2020-08-17 00:30:00,168.02601769911485
SA1,kswin,daily_weekly_adjusted,27,8456,2020-08-24 04:00:00,235.88911504424755
SA1,kswin,daily_weekly_adjusted,28,8756,2020-08-30 10:00:00,39.909910714285616
SA1,kswin,daily_weekly_adjusted,29,9070,2020-09-05 23:00:00,118.53221238938067
SA1,kswin,daily_weekly_adjusted,30,9371,2020-09-12 05:30:00,-28.90380530973448
SA1,kswin,daily_weekly_adjusted,31,9672,2020-09-18 12:00:00,-269.7336283185841
SA1,kswin,daily_weekly_adjusted,32,9972,2020-09-24 18:00:00,187.01185840707967
SA1,kswin,daily_weekly_adjusted,33,10279,2020-10-01 03:30:00,64.5764601769913
SA1,kswin,daily_weekly_adjusted,34,10581,2020-10-07 10:30:00,186.82185840707984
SA1,kswin,daily_weekly_adjusted,35,10930,2020-10-14 17:00:00,-116.68884955752219
SA1,kswin,daily_weekly_adjusted,36,11239,2020-10-21 03:30:00,5.80991150442469
SA1,kswin,daily_weekly_adjusted,37,11549,2020-10-27 14:30:00,-115.9024778761061
SA1,kswin,daily_weekly_adjusted,38,11878,2020-11-03 11:00:00,-58.24522123893803
SA1,kswin,daily_weekly_adjusted,39,12181,2020-11-09 18:30:00,46.16176991150451
SA1,kswin,daily_weekly_adjusted,40,12481,2020-11-16 00:30:00,-176.653982300885
SA1,kswin,daily_weekly_adjusted,41,12781,2020-11-22 06:30:00,97.5644642857144
SA1,kswin,daily_weekly_adjusted,42,13081,2020-11-28 12:30:00,486.9867256637168
SA1,kswin,daily_weekly_adjusted,43,13386,2020-12-04 21:00:00,-32.07831858407053
SA1,kswin,daily_weekly_adjusted,44,13686,2020-12-11 03:00:00,-224.3109734513273
SA1,kswin,daily_weekly_adjusted,45,13986,2020-12-17 09:00:00,-301.3394690265486
SA1,kswin,daily_weekly_adjusted,46,14349,2020-12-24 22:30:00,-306.69070796460164
SA1,kswin,daily_weekly_adjusted,47,14652,2020-12-31 06:00:00,-164.71805309734532
SA1,kswin,daily_weekly_adjusted,48,14999,2021-01-07 11:30:00,-684.5777876106195
SA1,kswin,daily_weekly_adjusted,49,15301,2021-01-13 18:30:00,-381.97415929203544
SA1,kswin,daily_weekly_adjusted,50,15634,2021-01-20 17:00:00,-107.898849557522
SA1,kswin,daily_weekly_adjusted,51,15934,2021-01-26 23:00:00,-250.30300884955773
SA1,kswin,daily_weekly_adjusted,52,16272,2021-02-03 00:00:00,-161.38132743362826
SA1,kswin,daily_weekly_adjusted,53,16572,2021-02-09 06:00:00,-56.36831858407095
SA1,kswin,daily_weekly_adjusted,54,16872,2021-02-15 12:00:00,-429.0328318584071
SA1,kswin,daily_weekly_adjusted,55,17172,2021-02-21 18:00:00,-384.84151785714266
SA1,kswin,daily_weekly_adjusted,56,17559,2021-03-01 19:30:00,-270.8223008849559
SA1,kswin,daily_weekly_adjusted,57,17859,2021-03-08 01:30:00,-85.88769911504437
SA1,kswin,daily_weekly_adjusted,58,18160,2021-03-14 08:00:00,-33.68098214285715
SA1,kswin,daily_weekly_adjusted,59,18460,2021-03-20 14:00:00,22.009469026548686
SA1,kswin,daily_weekly_adjusted,60,18792,2021-03-27 12:00:00,-223.75504424778762
SA1,kswin,daily_weekly_adjusted,61,19127,2021-04-03 11:30:00,-310.3220353982301
SA1,kswin,daily_weekly_adjusted,62,19427,2021-04-09 17:30:00,-221.55707964601766
SA1,kswin,daily_weekly_adjusted,63,19769,2021-04-16 20:30:00,-90.99628318584064
SA1,kswin,daily_weekly_adjusted,64,20069,2021-04-23 02:30:00,-38.213185840707865
SA1,kswin,daily_weekly_adjusted,65,20413,2021-04-30 06:30:00,-132.11690265486732
SA1,kswin,daily_weekly_adjusted,66,20713,2021-05-06 12:30:00,59.88601769911497
SA1,kswin,daily_weekly_adjusted,67,21013,2021-05-12 18:30:00,152.57584070796452
SA1,kswin,daily_weekly_adjusted,68,21328,2021-05-19 08:00:00,124.0493805309734
SA1,kswin,daily_weekly_adjusted,69,21628,2021-05-25 14:00:00,-264.09088495575213
SA1,kswin,daily_weekly_adjusted,70,21928,2021-05-31 20:00:00,400.77566371681405
SA1,kswin,daily_weekly_adjusted,71,22228,2021-06-07 02:00:00,1.4635398230088867
SA1,kswin,daily_weekly_adjusted,72,22543,2021-06-13 15:30:00,-104.90678571428555
SA1,kswin,daily_weekly_adjusted,73,22843,2021-06-19 21:30:00,308.22026548672557
SA1,kswin,daily_weekly_adjusted,74,23151,2021-06-26 07:30:00,214.97088495575213
SA1,kswin,daily_weekly_adjusted,75,23452,2021-07-02 14:00:00,41.74460176991147
SA1,kswin,daily_weekly_adjusted,76,23752,2021-07-08 20:00:00,402.9157522123892
SA1,kswin,daily_weekly_adjusted,77,24052,2021-07-15 02:00:00,-23.647876106194644
