region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,kswin,raw_30min,1,312,2020-03-07 12:00:00,522.1
SA1,kswin,raw_30min,2,612,2020-03-13 18:00:00,1103.12
SA1,kswin,raw_30min,3,912,2020-03-20 00:00:00,1434.85
SA1,kswin,raw_30min,4,1313,2020-03-28 08:30:00,996.21
SA1,kswin,raw_30min,5,1635,2020-04-04 01:30:00,1042.34
SA1,kswin,raw_30min,6,1967,2020-04-10 23:30:00,1040.88
SA1,kswin,raw_30min,7,2284,2020-04-17 14:00:00,968.3
SA1,kswin,raw_30min,8,2585,2020-04-23 20:30:00,1456.27
SA1,kswin,raw_30min,9,2891,2020-04-30 05:30:00,1072.36
SA1,kswin,raw_30min,10,3331,2020-05-09 09:30:00,943.13
SA1,kswin,raw_30min,11,3676,2020-05-16 14:00:00,688.53
SA1,kswin,raw_30min,12,3976,2020-05-22 20:00:00,1833.07
SA1,kswin,raw_30min,13,4331,2020-05-30 05:30:00,972.58
SA1,kswin,raw_30min,14,4631,2020-06-05 11:30:00,1244.12
SA1,kswin,raw_30min,15,4947,2020-06-12 01:30:00,1603.92
SA1,kswin,raw_30min,16,5284,2020-06-19 02:00:00,1193.33
SA1,kswin,raw_30min,17,5696,2020-06-27 16:00:00,1068.48
SA1,kswin,raw_30min,18,6009,2020-07-04 04:30:00,1164.37
SA1,kswin,raw_30min,19,6384,2020-07-12 00:00:00,1782.47
SA1,kswin,raw_30min,20,6686,2020-07-18 07:00:00,1039.74
SA1,kswin,raw_30min,21,7028,2020-07-25 10:00:00,1357.19
SA1,kswin,raw_30min,22,7334,2020-07-31 19:00:00,1910.08
SA1,kswin,raw_30min,23,7634,2020-08-07 01:00:00,1658.39
SA1,kswin,raw_30min,24,7942,2020-08-13 11:00:00,1237.86
SA1,kswin,raw_30min,25,8384,2020-08-22 16:00:00,1093.96
SA1,kswin,raw_30min,26,8701,2020-08-29 06:30:00,1050.32
SA1,kswin,raw_30min,27,9089,2020-09-06 08:30:00,944.57
SA1,kswin,raw_30min,28,9455,2020-09-13 23:30:00,1283.95
SA1,kswin,raw_30min,29,9755,2020-09-20 05:30:00,997.97
SA1,kswin,raw_30min,30,10169,2020-09-28 20:30:00,1542.31
