region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,page_hinkley,daily_mean_complete_days,1,29,2020-03-30,1183.4689583333334
SA1,page_hinkley,daily_mean_complete_days,2,59,2020-04-29,1348.1227083333333
SA1,page_hinkley,daily_mean_complete_days,3,89,2020-05-29,1305.869375
SA1,page_hinkley,daily_mean_complete_days,4,119,2020-06-28,1363.863125
SA1,page_hinkley,daily_mean_complete_days,5,149,2020-07-28,1725.045
SA1,page_hinkley,daily_mean_complete_days,6,179,2020-08-27,1255.9716666666666
SA1,page_hinkley,daily_mean_complete_days,7,209,2020-09-26,1225.1297916666667
SA1,page_hinkley,daily_mean_complete_days,8,239,2020-10-26,1105.6127083333333
SA1,page_hinkley,daily_mean_complete_days,9,269,2020-11-25,1268.1404166666666
SA1,page_hinkley,daily_mean_complete_days,10,299,2020-12-25,852.3327083333334
SA1,page_hinkley,daily_mean_complete_days,11,329,2021-01-24,1892.5010416666667
SA1,page_hinkley,daily_mean_complete_days,12,359,2021-02-23,1114.1858333333332
SA1,page_hinkley,daily_mean_complete_days,13,389,2021-03-25,1109.045625
SA1,page_hinkley,daily_mean_complete_days,14,419,2021-04-24,1116.0852083333332
SA1,page_hinkley,daily_mean_complete_days,15,449,2021-05-24,1175.2297916666666
SA1,page_hinkley,daily_mean_complete_days,16,479,2021-06-23,1438.8585416666667
SA1,page_hinkley,daily_mean_complete_days,17,509,2021-07-23,1597.2627083333334
SA1,page_hinkley,daily_mean_complete_days,18,539,2021-08-22,1035.5989583333333
SA1,page_hinkley,daily_mean_complete_days,19,569,2021-09-21,1301.451875
SA1,page_hinkley,daily_mean_complete_days,20,599,2021-10-21,941.9295833333334
SA1,page_hinkley,daily_mean_complete_days,21,629,2021-11-20,976.1987152777778
SA1,page_hinkley,daily_mean_complete_days,22,659,2021-12-20,1017.6878125
SA1,page_hinkley,daily_mean_complete_days,23,689,2022-01-19,1152.5977083333335
SA1,page_hinkley,daily_mean_complete_days,24,719,2022-02-18,1210.1812499999999
SA1,page_hinkley,daily_mean_complete_days,25,749,2022-03-20,1304.2681597222222
SA1,page_hinkley,daily_mean_complete_days,26,779,2022-04-19,1200.2984027777777
SA1,page_hinkley,daily_mean_complete_days,27,809,2022-05-19,1473.5773263888889
SA1,page_hinkley,daily_mean_complete_days,28,839,2022-06-18,1369.7888541666669
SA1,page_hinkley,daily_mean_complete_days,29,869,2022-07-18,1691.5718055555556
SA1,page_hinkley,daily_mean_complete_days,30,899,2022-08-17,1753.6394444444443
SA1,page_hinkley,daily_mean_complete_days,31,929,2022-09-16,1468.8157986111112
SA1,page_hinkley,daily_mean_complete_days,32,959,2022-10-16,858.9050694444444
SA1,page_hinkley,daily_mean_complete_days,33,989,2022-11-15,1190.6089583333332
SA1,page_hinkley,daily_mean_complete_days,34,1019,2022-12-15,1078.6782986111111
SA1,page_hinkley,daily_mean_complete_days,35,1049,2023-01-14,1686.888888888889
SA1,page_hinkley,daily_mean_complete_days,36,1079,2023-02-13,1076.1569097222223
SA1,page_hinkley,daily_mean_complete_days,37,1109,2023-03-15,1187.3084375
SA1,page_hinkley,daily_mean_complete_days,38,1139,2023-04-14,1271.7852777777778
SA1,page_hinkley,daily_mean_complete_days,39,1169,2023-05-14,1117.5775347222223
SA1,page_hinkley,daily_mean_complete_days,40,1199,2023-06-13,1584.124722222222
SA1,page_hinkley,daily_mean_complete_days,41,1229,2023-07-13,1563.312048611111
SA1,page_hinkley,daily_mean_complete_days,42,1259,2023-08-12,1484.5401041666667
SA1,page_hinkley,daily_mean_complete_days,43,1289,2023-09-11,1077.7685763888887
SA1,page_hinkley,daily_mean_complete_days,44,1320,2023-10-12,1153.4175694444446
SA1,page_hinkley,daily_mean_complete_days,45,1350,2023-11-11,1003.8197222222221
SA1,page_hinkley,daily_mean_complete_days,46,1380,2023-12-11,1338.4317708333333
