region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,page_hinkley,daily_weekly_adjusted,1,29,2020-03-01 14:30:00,144.71124999999995
SA1,page_hinkley,daily_weekly_adjusted,2,59,2020-03-02 05:30:00,-63.69318584070811
SA1,page_hinkley,daily_weekly_adjusted,3,89,2020-03-02 20:30:00,-280.43690265486725
SA1,page_hinkley,daily_weekly_adjusted,4,119,2020-03-03 11:30:00,-16.378053097345173
SA1,page_hinkley,daily_weekly_adjusted,5,149,2020-03-04 02:30:00,-73.45353982300867
SA1,page_hinkley,daily_weekly_adjusted,6,179,2020-03-04 17:30:00,-283.4475221238938
SA1,page_hinkley,daily_weekly_adjusted,7,209,2020-03-05 08:30:00,-65.02672566371689
SA1,page_hinkley,daily_weekly_adjusted,8,239,2020-03-05 23:30:00,-117.43221238938054
SA1,page_hinkley,daily_weekly_adjusted,9,269,2020-03-06 14:30:00,-398.75371681415913
SA1,page_hinkley,daily_weekly_adjusted,10,299,2020-03-07 05:30:00,-37.073805309734325
SA1,page_hinkley,daily_weekly_adjusted,11,329,2020-03-07 20:30:00,-229.59123893805327
SA1,page_hinkley,daily_weekly_adjusted,12,359,2020-03-08 11:30:00,-427.95428571428573
SA1,page_hinkley,daily_weekly_adjusted,13,389,2020-03-09 02:30:00,-101.4469911504425
SA1,page_hinkley,daily_weekly_adjusted,14,419,2020-03-09 17:30:00,-500.6545132743362
SA1,page_hinkley,daily_weekly_adjusted,15,449,2020-03-10 08:30:00,-158.6205309734512
SA1,page_hinkley,daily_weekly_adjusted,16,479,2020-03-10 23:30:00,-93.17637168141596
SA1,page_hinkley,daily_weekly_adjusted,17,509,2020-03-11 14:30:00,96.94725663716781
SA1,page_hinkley,daily_weekly_adjusted,18,539,2020-03-12 05:30:00,111.12115044247776
SA1,page_hinkley,daily_weekly_adjusted,19,569,2020-03-12 20:30:00,79.66557522123912
SA1,page_hinkley,daily_weekly_adjusted,20,599,2020-03-13 11:30:00,-84.57778761061945
SA1,page_hinkley,daily_weekly_adjusted,21,629,2020-03-14 02:30:00,-92.52380530973437
SA1,page_hinkley,daily_weekly_adjusted,22,659,2020-03-14 17:30:00,-437.32106194690255
SA1,page_hinkley,daily_weekly_adjusted,23,689,2020-03-15 08:30:00,-99.88249999999994
SA1,page_hinkley,daily_weekly_adjusted,24,719,2020-03-15 23:30:00,-154.84080357142875
SA1,page_hinkley,daily_weekly_adjusted,25,749,2020-03-16 14:30:00,-253.30734513274342
SA1,page_hinkley,daily_weekly_adjusted,26,779,2020-03-17 05:30:00,20.37646017699103
SA1,page_hinkley,daily_weekly_adjusted,27,809,2020-03-17 20:30:00,95.83460176991161
SA1,page_hinkley,daily_weekly_adjusted,28,839,2020-03-18 11:30:00,106.56584070796453
SA1,page_hinkley,daily_weekly_adjusted,29,869,2020-03-19 02:30:00,123.03097345132733
SA1,page_hinkley,daily_weekly_adjusted,30,899,2020-03-19 17:30:00,-99.63017699115039
SA1,page_hinkley,daily_weekly_adjusted,31,929,2020-03-20 08:30:00,-24.696725663716734
SA1,page_hinkley,daily_weekly_adjusted,32,959,2020-03-20 23:30:00,-60.40407079646002
SA1,page_hinkley,daily_weekly_adjusted,33,989,2020-03-21 14:30:00,-298.42787610619473
