region,detector,input_processing,detection_number,changepoint_index,changepoint_timestamp,demand_value
SA1,page_hinkley,raw_30min,1,29,2020-03-01 14:30:00,1100.6
SA1,page_hinkley,raw_30min,2,59,2020-03-02 05:30:00,1056.51
SA1,page_hinkley,raw_30min,3,89,2020-03-02 20:30:00,1341.85
SA1,page_hinkley,raw_30min,4,119,2020-03-03 11:30:00,1109.29
SA1,page_hinkley,raw_30min,5,149,2020-03-04 02:30:00,1109.66
SA1,page_hinkley,raw_30min,6,179,2020-03-04 17:30:00,1267.58
SA1,page_hinkley,raw_30min,7,209,2020-03-05 08:30:00,1364.67
SA1,page_hinkley,raw_30min,8,239,2020-03-05 23:30:00,1262.24
SA1,page_hinkley,raw_30min,9,269,2020-03-06 14:30:00,799.95
SA1,page_hinkley,raw_30min,10,299,2020-03-07 05:30:00,1053.41
SA1,page_hinkley,raw_30min,11,329,2020-03-07 20:30:00,1243.27
SA1,page_hinkley,raw_30min,12,359,2020-03-08 11:30:00,494.17
SA1,page_hinkley,raw_30min,13,389,2020-03-09 02:30:00,1046.36
SA1,page_hinkley,raw_30min,14,419,2020-03-09 17:30:00,995.62
SA1,page_hinkley,raw_30min,15,449,2020-03-10 08:30:00,1243.68
SA1,page_hinkley,raw_30min,16,479,2020-03-10 23:30:00,1250.54
SA1,page_hinkley,raw_30min,17,509,2020-03-11 14:30:00,1300.36
SA1,page_hinkley,raw_30min,18,539,2020-03-12 05:30:00,1280.06
SA1,page_hinkley,raw_30min,19,569,2020-03-12 20:30:00,1782.27
SA1,page_hinkley,raw_30min,20,599,2020-03-13 11:30:00,1104.5
SA1,page_hinkley,raw_30min,21,629,2020-03-14 02:30:00,1070.48
SA1,page_hinkley,raw_30min,22,659,2020-03-14 17:30:00,899.2
SA1,page_hinkley,raw_30min,23,689,2020-03-15 08:30:00,963.95
SA1,page_hinkley,raw_30min,24,719,2020-03-15 23:30:00,1114.83
SA1,page_hinkley,raw_30min,25,749,2020-03-16 14:30:00,904.8
SA1,page_hinkley,raw_30min,26,779,2020-03-17 05:30:00,1171.34
SA1,page_hinkley,raw_30min,27,809,2020-03-17 20:30:00,1749.29
SA1,page_hinkley,raw_30min,28,839,2020-03-18 11:30:00,1289.33
SA1,page_hinkley,raw_30min,29,869,2020-03-19 02:30:00,1320.06
SA1,page_hinkley,raw_30min,30,899,2020-03-19 17:30:00,1468.65
SA1,page_hinkley,raw_30min,31,929,2020-03-20 08:30:00,1410.02
SA1,page_hinkley,raw_30min,32,959,2020-03-20 23:30:00,1286.66
SA1,page_hinkley,raw_30min,33,989,2020-03-21 14:30:00,659.03
SA1,page_hinkley,raw_30min,34,1019,2020-03-22 05:30:00,1054.71
SA1,page_hinkley,raw_30min,35,1049,2020-03-22 20:30:00,1275.39
SA1,page_hinkley,raw_30min,36,1079,2020-03-23 11:30:00,770.99
SA1,page_hinkley,raw_30min,37,1109,2020-03-24 02:30:00,1132.02
SA1,page_hinkley,raw_30min,38,1139,2020-03-24 17:30:00,1396.49
SA1,page_hinkley,raw_30min,39,1169,2020-03-25 08:30:00,1286.44
SA1,page_hinkley,raw_30min,40,1199,2020-03-25 23:30:00,1204.33
SA1,page_hinkley,raw_30min,41,1229,2020-03-26 14:30:00,704.06
SA1,page_hinkley,raw_30min,42,1259,2020-03-27 05:30:00,1231.53
SA1,page_hinkley,raw_30min,43,1289,2020-03-27 20:30:00,1410.23
SA1,page_hinkley,raw_30min,44,1319,2020-03-28 11:30:00,716.59
SA1,page_hinkley,raw_30min,45,1349,2020-03-29 02:30:00,979.14
