method,sweep,config_hash,config,none_false_alarms_per_10000,sudden_detection_delay,sudden_false_alarms_per_10000,sudden_missed_detections,gradual_detection_delay,gradual_false_alarms_per_10000,gradual_missed_detections,recurring_detection_delay,recurring_false_alarms_per_10000,recurring_missed_detections
adwin,adwin_delta,609ac4098105,delta=0.0005,0.0,23.0,0.0,0.0,221.4,1.0,0.0,15.5,0.0,0.0
adwin,adwin_delta,c76154882d44,delta=0.001,0.0,23.0,0.0,0.0,215.0,1.1,0.0,15.5,0.4,0.0
adwin,adwin_delta,f9a7f9e58fdb,delta=0.002,2.5,23.0,2.3,0.0,215.0,3.6,0.0,15.5,3.8,0.0
adwin,adwin_delta,13a0f21a856b,delta=0.005,79.7,,72.3,1.0,259.8,69.7,0.0,15.5,74.0,0.0
adwin,adwin_delta,2f4c701ac86f,delta=0.01,91.7,279.0,88.5,0.8,87.0,91.5,0.0,15.5,89.3,0.0
kswin,kswin_alpha,51ec8cf4159f,"alpha=0.001, seed=42, stat_size=30, window_size=100",91.5,55.6,91.1,0.0,52.6,91.0,0.0,75.0,90.4,0.0
kswin,kswin_alpha,890b6dbfe375,"alpha=0.0025, seed=42, stat_size=30, window_size=100",91.5,55.6,91.1,0.0,52.6,91.0,0.0,75.0,90.4,0.0
kswin,kswin_alpha,7ef1ffb0e3ed,"alpha=0.005, seed=42, stat_size=30, window_size=100",93.7,46.8,93.2,0.0,52.0,93.3,0.0,50.3,92.7,0.0
kswin,kswin_alpha,d9c5e9d26aca,"alpha=0.01, seed=42, stat_size=30, window_size=100",95.5,50.8,95.1,0.0,51.6,95.0,0.0,24.3,94.5,0.0
kswin,kswin_stat_size,a0ba2e4c79b4,"alpha=0.005, seed=42, stat_size=50, window_size=100",0.0,17.4,0.0,0.0,,0.0,1.0,19.1,0.0,0.0
kswin,kswin_stat_size,c8c1c512439b,"alpha=0.005, seed=42, stat_size=30, window_size=100",93.7,46.8,93.2,0.0,52.0,93.3,0.0,50.3,92.7,0.0
kswin,kswin_stat_size,c88207161e1b,"alpha=0.005, seed=42, stat_size=20, window_size=100",96.0,88.6,95.5,0.0,88.4,95.7,0.0,64.9,95.2,0.0
kswin,kswin_stat_size_refinement,be95643d90fa,"alpha=0.005, seed=42, stat_size=45, window_size=100",0.0,15.8,0.1,0.0,986.0,0.0,0.8,17.4,0.1,0.0
kswin,kswin_stat_size_refinement,927d249c9566,"alpha=0.005, seed=42, stat_size=40, window_size=100",54.8,24.8,54.8,0.0,50.0,54.5,0.0,56.3,54.1,0.0
kswin,kswin_stat_size_refinement,2cb4959f76cd,"alpha=0.005, seed=42, stat_size=35, window_size=100",94.7,52.2,94.0,0.0,62.4,94.0,0.0,55.8,93.5,0.0
kswin,kswin_window_size,be6ada0e7a0d,"alpha=0.005, seed=42, stat_size=30, window_size=300",31.5,76.0,31.0,0.0,82.6,31.0,0.0,163.6,30.8,0.0
kswin,kswin_window_size,d4d5bf51e3bc,"alpha=0.005, seed=42, stat_size=30, window_size=200",47.9,142.6,47.5,0.0,147.6,47.3,0.0,95.3,47.1,0.0
kswin,kswin_window_size,35bdbc022eac,"alpha=0.005, seed=42, stat_size=30, window_size=100",93.7,46.8,93.2,0.0,52.0,93.3,0.0,50.3,92.7,0.0
page_hinkley,page_hinkley_delta,6070fab98e45,"delta=0.01, min_instances=30, threshold=50.0",312.0,18.8,312.0,0.0,25.2,311.5,0.0,14.7,311.0,0.0
page_hinkley,page_hinkley_delta,6c9bd7cd37da,"delta=0.001, min_instances=30, threshold=50.0",312.0,18.8,312.0,0.0,25.2,311.5,0.0,14.6,311.0,0.0
page_hinkley,page_hinkley_delta,c418e18f8d97,"delta=0.005, min_instances=30, threshold=50.0",312.0,18.8,312.0,0.0,25.2,311.5,0.0,14.6,311.0,0.0
page_hinkley,page_hinkley_delta,cb070ea6033b,"delta=0.05, min_instances=30, threshold=50.0",312.0,15.2,311.9,0.0,20.2,311.5,0.0,16.4,311.0,0.0
page_hinkley,page_hinkley_min_instances,ee5339c214d9,"delta=0.005, min_instances=100, threshold=50.0",100.0,99.0,99.5,0.0,99.0,99.5,0.0,49.5,99.0,0.0
page_hinkley,page_hinkley_min_instances,52eeee9857ff,"delta=0.005, min_instances=60, threshold=50.0",166.5,39.0,166.0,0.0,39.0,166.0,0.0,49.5,165.5,0.0
page_hinkley,page_hinkley_min_instances,46efd1a44568,"delta=0.005, min_instances=30, threshold=50.0",312.0,18.8,312.0,0.0,25.2,311.5,0.0,14.6,311.0,0.0
page_hinkley,page_hinkley_threshold,14d67e4e13c3,"delta=0.005, min_instances=30, threshold=200.0",4.9,14.4,4.4,0.0,191.6,5.5,0.0,14.3,4.8,0.0
page_hinkley,page_hinkley_threshold,74cd5e8892e1,"delta=0.005, min_instances=30, threshold=100.0",141.6,28.4,144.5,0.0,61.0,144.8,0.0,16.5,139.7,0.0
page_hinkley,page_hinkley_threshold,173ab8f71dc0,"delta=0.005, min_instances=30, threshold=50.0",312.0,18.8,312.0,0.0,25.2,311.5,0.0,14.6,311.0,0.0
page_hinkley,page_hinkley_threshold,a4212862c96b,"delta=0.005, min_instances=30, threshold=25.0",333.0,9.0,332.5,0.0,9.0,332.5,0.0,19.6,332.0,0.0
