region,input_processing,detector,config_hash,n_observations,n_detections,n_matched,n_unmatched_events,n_unmatched_detections,precision,mean_delay_days,detections_per_1000_observations,median_detection_gap,minimum_detection_gap,wall_clock_s
SA1,raw_30min,adwin,9bfb2eb1dba2,67248,554.0,3.0,2.0,551.0,0.005415162454873646,0.9791666666666666,8.23816321674994,96.0,32.0,0.023292800004128367
SA1,raw_30min,kswin,41593872470c,67248,192.0,3.0,2.0,189.0,0.015625,2.736111111111111,2.8551034975017844,323.0,300.0,2.510415299999295
SA1,raw_30min,page_hinkley,5fad6836eb26,67248,2241.0,5.0,0.0,2236.0,0.0022311468094600626,0.4041666666666667,33.32441113490364,30.0,30.0,0.03894570001284592
SA1,daily_mean_complete_days,adwin,b0579f741c61,1401,9.0,0.0,5.0,9.0,0.0,,6.423982869379015,128.0,96.0,0.0004932000010740012
SA1,daily_mean_complete_days,kswin,69455a175ace,1401,4.0,1.0,4.0,3.0,0.25,25.0,2.8551034975017844,300.0,300.0,0.002875599981052801
SA1,daily_mean_complete_days,page_hinkley,9f36c03a6665,1401,46.0,3.0,2.0,43.0,0.06521739130434782,22.333333333333332,32.83369022127052,30.0,30.0,0.0009552999981679022
SA1,daily_weekly_adjusted,adwin,83227f8acd8b,67248,754.0,3.0,2.0,751.0,0.003978779840848806,0.9791666666666666,11.212229359980967,64.0,32.0,0.02035900001646951
SA1,daily_weekly_adjusted,kswin,2687569dda66,67248,207.0,3.0,2.0,204.0,0.014492753623188406,1.8819444444444444,3.0781584582441113,302.0,300.0,1.283082599984482
SA1,daily_weekly_adjusted,page_hinkley,505baac95381,67248,2239.0,5.0,0.0,2234.0,0.0022331397945511387,0.3416666666666667,33.29467047347133,30.0,30.0,0.04034590002265759
NSW1,raw_30min,adwin,9bfb2eb1dba2,67248,556.0,3.0,2.0,553.0,0.00539568345323741,2.0902777777777777,8.267903878182251,96.0,32.0,0.021518399997148663
NSW1,raw_30min,kswin,41593872470c,67248,200.0,3.0,2.0,197.0,0.015,2.243055555555556,2.974066143231026,315.0,300.0,1.916299100004835
NSW1,raw_30min,page_hinkley,5fad6836eb26,67248,2241.0,5.0,0.0,2236.0,0.0022311468094600626,0.4041666666666667,33.32441113490364,30.0,30.0,0.04068800000823103
NSW1,daily_mean_complete_days,adwin,b0579f741c61,1401,12.0,0.0,5.0,12.0,0.0,,8.565310492505354,96.0,64.0,0.0005110999918542802
NSW1,daily_mean_complete_days,kswin,69455a175ace,1401,4.0,0.0,5.0,4.0,0.0,,2.8551034975017844,300.0,300.0,0.009121699986280873
NSW1,daily_mean_complete_days,page_hinkley,9f36c03a6665,1401,46.0,3.0,2.0,43.0,0.06521739130434782,22.0,32.83369022127052,30.0,30.0,0.0010551000013947487
NSW1,daily_weekly_adjusted,adwin,83227f8acd8b,67248,778.0,4.0,1.0,774.0,0.005141388174807198,1.0625,11.56911729716869,64.0,32.0,0.021719399985158816
NSW1,daily_weekly_adjusted,kswin,2687569dda66,67248,203.0,4.0,1.0,199.0,0.019704433497536946,3.6666666666666665,3.018677135379491,302.0,300.0,1.614626299997326
NSW1,daily_weekly_adjusted,page_hinkley,505baac95381,67248,2241.0,5.0,0.0,2236.0,0.0022311468094600626,0.4041666666666667,33.32441113490364,30.0,30.0,0.03819140000268817
