method,sweep,config,drift_type,seed,n_detections,n_false_alarms,false_alarms_per_year,budget_met,detection_delay,missed_detections,accepted
adwin,adwin_budget_delta,{'delta': 0.00025},none,1,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,2,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,3,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,4,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,5,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,1,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,2,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,3,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,4,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,5,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,1,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,2,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,3,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,4,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,5,3,2,1.752,True,247.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,1,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,2,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,3,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,4,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,5,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,1,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,2,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,3,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,4,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,5,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,1,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,2,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,3,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,4,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},sudden,5,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,1,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,2,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,3,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,4,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},gradual,5,3,2,1.752,True,247.0,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,1,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,2,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,3,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,4,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.0005},recurring,5,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,1,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,2,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,3,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,4,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},none,5,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,1,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,2,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,3,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,4,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},sudden,5,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,1,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,2,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,3,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,4,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},gradual,5,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,1,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,2,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,3,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,4,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.00075},recurring,5,4,2,1.752,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.001},none,1,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.001},none,2,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.001},none,3,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.001},none,4,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.001},none,5,0,0,0.0,True,,0,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,1,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,2,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,3,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,4,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},sudden,5,1,0,0.0,True,23.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,1,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,2,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,3,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,4,3,2,1.752,True,215.0,0,True
adwin,adwin_budget_delta,{'delta': 0.001},gradual,5,4,3,2.6279999999999997,False,215.0,0,False
adwin,adwin_budget_delta,{'delta': 0.001},recurring,1,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,2,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,3,4,2,1.752,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,4,2,0,0.0,True,15.5,0,True
adwin,adwin_budget_delta,{'delta': 0.001},recurring,5,4,2,1.752,True,15.5,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",none,1,62,62,54.312,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",none,2,62,62,54.312,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",none,3,61,61,53.436,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",none,4,62,62,54.312,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",none,5,62,62,54.312,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",sudden,1,62,61,53.436,False,79.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",sudden,2,63,62,54.312,False,106.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",sudden,3,61,60,52.559999999999995,False,101.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",sudden,4,62,61,53.436,False,208.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",sudden,5,62,61,53.436,False,259.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,1,62,61,53.436,False,115.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,2,62,61,53.436,False,113.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,3,61,60,52.559999999999995,False,116.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,4,61,60,52.559999999999995,False,213.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,5,62,61,53.436,False,234.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,1,62,60,52.559999999999995,False,27.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,2,62,60,52.559999999999995,False,57.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,3,62,60,52.559999999999995,False,30.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,4,61,59,51.684,False,180.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,5,62,60,52.559999999999995,False,238.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,1,32,32,28.032,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,2,30,30,26.279999999999998,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,3,27,27,23.651999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,4,28,28,24.528,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,5,28,28,24.528,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,1,33,32,28.032,False,110.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,2,28,27,23.651999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,3,30,29,25.404,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,4,32,31,27.156,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,5,35,34,29.784,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,1,33,32,28.032,False,167.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,2,30,29,25.404,False,173.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,3,32,31,27.156,False,168.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,4,33,32,28.032,False,123.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,5,34,33,28.907999999999998,False,79.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,1,32,30,26.279999999999998,False,109.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,2,31,30,26.279999999999998,False,80.0,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,3,29,28,24.528,False,17.0,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,4,28,26,22.776,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,5,32,30,26.279999999999998,False,62.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,1,18,18,15.767999999999999,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,2,21,21,18.396,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,3,25,25,21.9,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,4,27,27,23.651999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,5,22,22,19.272,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,1,18,17,14.892,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,2,25,24,21.023999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,3,25,25,21.9,False,,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,4,28,27,23.651999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,5,13,12,10.511999999999999,False,15.0,0,False
