method,sweep,config,drift_type,seed,n_detections,n_false_alarms,false_alarms_per_year,budget_met,detection_delay,missed_detections,none_clean,accepted
adwin,adwin_budget_delta,{'delta': 0.0001},none,1,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},none,2,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},none,3,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},none,4,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},none,5,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},sudden,1,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},sudden,2,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},sudden,3,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},sudden,4,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},sudden,5,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},gradual,1,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},gradual,2,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},gradual,3,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},gradual,4,3,2,1.752,True,247.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},gradual,5,3,2,1.752,True,247.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},recurring,1,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},recurring,2,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},recurring,3,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},recurring,4,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0001},recurring,5,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,1,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,2,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,3,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,4,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},none,5,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,1,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,2,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,3,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,4,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},sudden,5,1,0,0.0,True,23.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,1,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,2,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,3,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,4,3,2,1.752,True,215.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},gradual,5,3,2,1.752,True,247.0,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,1,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,2,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,3,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,4,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.00025},recurring,5,2,0,0.0,True,15.5,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,1,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,2,0,0,0.0,True,,0,True,True
adwin,adwin_budget_delta,{'delta': 0.0005},none,3,0,0,0.0,True,,0,True,True
