detector,drift_type,seed,n_detections,n_false_alarms,false_alarms_per_year,false_alarm_budget_per_year,false_alarm_budget_met,detection_delay,missed_detections
adwin,none,1,0,0,0.0,2.0,True,,0
adwin,none,2,0,0,0.0,2.0,True,,0
adwin,none,3,0,0,0.0,2.0,True,,0
adwin,none,4,0,0,0.0,2.0,True,,0
adwin,none,5,0,0,0.0,2.0,True,,0
adwin,sudden,1,1,0,0.0,2.0,True,23.0,0
adwin,sudden,2,1,0,0.0,2.0,True,23.0,0
adwin,sudden,3,1,0,0.0,2.0,True,23.0,0
adwin,sudden,4,1,0,0.0,2.0,True,23.0,0
adwin,sudden,5,1,0,0.0,2.0,True,23.0,0
adwin,gradual,1,3,2,1.752,2.0,True,215.0,0
adwin,gradual,2,3,2,1.752,2.0,True,215.0,0
adwin,gradual,3,3,2,1.752,2.0,True,215.0,0
adwin,gradual,4,3,2,1.752,2.0,True,215.0,0
adwin,gradual,5,3,2,1.752,2.0,True,215.0,0
adwin,recurring,1,2,0,0.0,2.0,True,15.5,0
adwin,recurring,2,2,0,0.0,2.0,True,15.5,0
adwin,recurring,3,2,0,0.0,2.0,True,15.5,0
adwin,recurring,4,2,0,0.0,2.0,True,15.5,0
adwin,recurring,5,4,2,1.752,2.0,True,15.5,0
kswin,none,1,1,1,0.876,2.0,True,,0
kswin,none,2,0,0,0.0,2.0,True,,0
kswin,none,3,0,0,0.0,2.0,True,,0
kswin,none,4,0,0,0.0,2.0,True,,0
kswin,none,5,1,1,0.876,2.0,True,,0
kswin,sudden,1,1,0,0.0,2.0,True,16.0,0
kswin,sudden,2,1,0,0.0,2.0,True,17.0,0
kswin,sudden,3,2,1,0.876,2.0,True,16.0,0
kswin,sudden,4,1,0,0.0,2.0,True,16.0,0
kswin,sudden,5,1,0,0.0,2.0,True,16.0,0
kswin,gradual,1,3,2,1.752,2.0,True,320.0,0
kswin,gradual,2,2,1,0.876,2.0,True,411.0,0
kswin,gradual,3,2,1,0.876,2.0,True,418.0,0
kswin,gradual,4,3,2,1.752,2.0,True,418.0,0
kswin,gradual,5,2,1,0.876,2.0,True,320.0,0
kswin,recurring,1,2,0,0.0,2.0,True,13.0,0
kswin,recurring,2,2,0,0.0,2.0,True,11.0,0
kswin,recurring,3,2,0,0.0,2.0,True,12.5,0
kswin,recurring,4,2,0,0.0,2.0,True,14.5,0
kswin,recurring,5,2,0,0.0,2.0,True,14.0,0
page_hinkley,none,1,0,0,0.0,2.0,True,,0
page_hinkley,none,2,0,0,0.0,2.0,True,,0
page_hinkley,none,3,0,0,0.0,2.0,True,,0
page_hinkley,none,4,0,0,0.0,2.0,True,,0
page_hinkley,none,5,0,0,0.0,2.0,True,,0
page_hinkley,sudden,1,1,0,0.0,2.0,True,47.0,0
page_hinkley,sudden,2,1,0,0.0,2.0,True,22.0,0
page_hinkley,sudden,3,1,0,0.0,2.0,True,46.0,0
page_hinkley,sudden,4,1,0,0.0,2.0,True,41.0,0
page_hinkley,sudden,5,1,0,0.0,2.0,True,43.0,0
page_hinkley,gradual,1,3,2,1.752,2.0,True,293.0,0
page_hinkley,gradual,2,3,2,1.752,2.0,True,201.0,0
page_hinkley,gradual,3,3,2,1.752,2.0,True,293.0,0
page_hinkley,gradual,4,3,2,1.752,2.0,True,253.0,0
page_hinkley,gradual,5,3,2,1.752,2.0,True,293.0,0
page_hinkley,recurring,1,2,0,0.0,2.0,True,36.0,0
page_hinkley,recurring,2,2,0,0.0,2.0,True,31.0,0
page_hinkley,recurring,3,2,0,0.0,2.0,True,43.5,0
page_hinkley,recurring,4,2,0,0.0,2.0,True,33.5,0
page_hinkley,recurring,5,2,0,0.0,2.0,True,42.0,0
