learning_rate,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,validation_fraction,subsample,colsample_bytree,mae,rolling_mae_7d_mean,rolling_mae_7d_max,wall_clock_s
0.05,5,10,0.3,0.5,3.0,1200,30,0.15,0.8,0.8,744.2631731296117,752.7106224284037,1322.871333937872,10.40196669998113
0.1,3,5,1.0,0.0,10.0,1200,30,0.15,0.8,0.8,750.2114107055664,765.4412652760221,1334.026724155971,10.053397500014398
0.1,3,5,0.3,0.0,10.0,1200,30,0.15,0.8,0.8,750.2114107055664,765.4412652760221,1334.026724155971,9.42570819996763
0.02,7,10,0.0,2.0,1.0,1200,30,0.15,0.8,0.8,839.1672599555121,856.2868275681291,1353.9585051618303,12.561210500018205
0.1,5,10,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,738.8455229085287,741.9790741557563,1361.998887358166,11.27508689998649
0.1,5,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,840.7151349216036,863.365381259264,1421.6269193522135,11.403700899973046
0.02,7,1,0.3,0.5,3.0,1200,30,0.15,0.8,0.8,850.3999695909287,869.2172791295236,1444.889315592448,12.332535199995618
0.1,7,5,0.0,0.0,1.0,1200,30,0.15,0.8,0.8,883.9375418633355,901.1653179096025,1525.0018698846727,9.280580399965402
0.1,3,10,1.0,0.5,3.0,1200,30,0.15,0.8,0.8,702.5474861382378,715.0035979518956,1538.554586123512,12.450858700030949
0.05,7,1,0.0,2.0,3.0,1200,30,0.15,0.8,0.8,1006.771903971354,1040.4810123772604,1639.1323263695126,13.549514500016812
0.05,3,5,1.0,0.0,1.0,1200,30,0.15,0.8,0.8,652.6734486490884,662.9974166732446,1657.9552065894716,9.480051700025797
0.02,7,10,1.0,0.0,3.0,1200,30,0.15,0.8,0.8,1039.6594999796548,1077.7505782082073,1739.564938092913,10.76461010001367
0.1,7,5,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,965.6993291151259,1007.2224385142948,1750.3584517996653,11.590580700023565
0.02,5,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,656.5921996256511,664.1736957268927,1831.6024689592634,12.598958200018387
0.1,3,5,0.0,0.0,3.0,1200,30,0.15,0.8,0.8,673.5145703192817,685.199643429705,1936.3753088378905,11.636261600011494
0.02,7,5,1.0,2.0,1.0,1200,30,0.15,0.8,0.8,1059.4888946736655,1104.0693729416269,1966.49448172433,10.779303699964657
0.02,3,10,1.0,2.0,1.0,1200,30,0.15,0.8,0.8,797.9215133531359,811.6184648906184,2142.036221516927,11.341912500036415
0.02,3,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,798.2653379245335,814.009504004692,2148.096221575056,8.946050399972592
0.02,3,10,0.0,0.0,10.0,1200,30,0.15,0.8,0.8,880.2071773613824,888.6494932500565,2214.8717894926526,11.674665500002448
0.02,3,10,0.3,0.0,10.0,1200,30,0.15,0.8,0.8,880.2071773613824,888.6494932500565,2214.8717894926526,8.891188400040846
0.02,3,5,0.3,2.0,10.0,1200,30,0.15,0.8,0.8,884.534407450358,900.705735692866,2264.066250813802,13.079411400016397
0.05,7,5,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,1186.053678873698,1265.3775530623627,2295.827209065755,11.45092430000659
0.02,3,10,1.0,0.5,10.0,1200,30,0.15,0.8,0.8,906.7582538248698,927.7632055689643,2301.6567921084447,11.43179030000465
0.1,3,5,1.0,2.0,3.0,1200,30,0.15,0.8,0.8,3746.7094708319764,3857.418020307548,5311.4322653924855,11.273706100007985
