learning_rate,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,n_estimators,early_stopping_rounds,validation_fraction,subsample,colsample_bytree,mae,rolling_mae_7d_mean,rolling_mae_7d_max,wall_clock_s
0.1,7,5,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,214.36089476097953,217.5280228297808,371.3934003630139,8.486045100027695
0.1,3,10,1.0,0.5,3.0,1200,30,0.15,0.8,0.8,204.87417621019154,210.76643423468482,386.9065661548433,8.649511599971447
0.02,3,10,0.3,0.0,10.0,1200,30,0.15,0.8,0.8,207.94513188849555,211.93362600703153,387.57656229654947,8.856652699992992
0.02,3,10,0.0,0.0,10.0,1200,30,0.15,0.8,0.8,207.94513188849555,211.93362600703153,387.57656229654947,10.134286799991969
0.02,7,10,1.0,0.0,3.0,1200,30,0.15,0.8,0.8,200.92928083546957,204.93911846278021,389.2097611999511,10.869273899996188
0.02,7,5,1.0,2.0,1.0,1200,30,0.15,0.8,0.8,197.21622327423094,200.86185059694085,390.166544661749,9.367241300002206
0.02,3,10,1.0,0.5,10.0,1200,30,0.15,0.8,0.8,206.37048975457085,209.98833867501153,390.66416878109885,9.475860200007446
0.05,7,1,0.0,2.0,3.0,1200,30,0.15,0.8,0.8,199.9183111580743,203.39305438295233,390.70531063988096,9.067003500007559
0.02,7,10,0.0,2.0,1.0,1200,30,0.15,0.8,0.8,195.8877623655531,200.35359903072302,392.159013838995,9.652230800013058
0.02,3,5,0.3,2.0,10.0,1200,30,0.15,0.8,0.8,204.04360756089955,208.20555907228413,392.3371518162318,9.888513200043235
0.02,3,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,207.06803834872773,211.49378802465395,394.1439754086449,8.836930600053165
0.02,7,1,0.3,0.5,3.0,1200,30,0.15,0.8,0.8,201.03551823086207,205.1510923060352,394.48416854858397,10.990388799982611
0.02,3,10,1.0,2.0,1.0,1200,30,0.15,0.8,0.8,204.89914922502308,209.2305039283966,396.61145604451497,8.96445660002064
0.1,3,5,0.0,0.0,3.0,1200,30,0.15,0.8,0.8,208.1573309580485,213.5977819870756,400.06766635713126,8.732544999977108
0.1,5,10,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,206.7797607371012,212.1889200128053,400.07450017293297,11.046369199990295
0.05,5,10,0.3,0.5,3.0,1200,30,0.15,0.8,0.8,202.17239246537955,206.796871197057,401.88247668311715,9.062736400053836
0.05,7,5,0.3,2.0,3.0,1200,30,0.15,0.8,0.8,198.0151771469116,202.19952636510615,404.6436558750697,10.5804141999688
0.02,5,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,202.54945147365996,207.1044368940681,410.7348396591913,9.840743999986444
0.05,3,5,1.0,0.0,1.0,1200,30,0.15,0.8,0.8,199.5551560863919,205.26604496777273,410.90127134777254,9.336745900043752
0.1,3,5,1.0,2.0,3.0,1200,30,0.15,0.8,0.8,220.1167270160251,226.8917351423105,412.0306629362561,9.067894499981776
0.1,7,5,0.0,0.0,1.0,1200,30,0.15,0.8,0.8,200.18297630479603,204.0829364932454,414.37150064377556,8.723490000003949
0.1,5,1,0.3,0.5,1.0,1200,30,0.15,0.8,0.8,203.27353543006055,208.66573443874464,415.7140882074266,8.473389499995392
0.1,3,5,1.0,0.0,10.0,1200,30,0.15,0.8,0.8,218.9598731206258,225.983511421634,417.1666717383975,8.330265299999155
0.1,3,5,0.3,0.0,10.0,1200,30,0.15,0.8,0.8,218.9598731206258,225.983511421634,417.1666717383975,9.64713869994739
