t,y,is_changepoint
0,19.198068574746554,0
1,19.328271965472112,0
2,21.045733603417354,0
3,22.33386239989097,0
4,23.636046532489644,0
5,23.15351354436541,0
6,22.982886585396507,0
7,23.1819863461119,0
8,25.07887278965678,0
9,26.25418070551501,0
10,25.10239790729006,0
11,23.72389564283828,0
12,24.04173479456391,0
13,26.557243395868163,0
14,25.03251157195395,0
15,22.88726282011685,0
16,24.24643082610517,0
17,22.803540728011427,0
18,22.906245811871184,0
19,22.555801321766747,0
20,21.786686628367757,0
21,22.46679563217874,0
22,21.231009253587317,0
23,20.063199703067657,0
24,20.409637826557116,0
25,20.177224345961065,0
26,17.06288140308172,0
27,17.829852711809057,0
28,16.519252643955987,0
29,16.783037630094366,0
30,15.175047347313408,0
31,16.053923692581417,0
32,15.63198724003374,0
33,15.076264586485078,0
34,14.122444363434413,0
35,14.646585362657856,0
36,13.908671098304291,0
37,13.687566946926207,0
38,15.39515660101455,0
39,14.2712523995522,0
40,16.8401690822561,0
41,16.749820954417658,0
42,14.466649401617541,0
43,17.228321724368882,0
44,16.398283372418952,0
45,18.119640058332823,0
46,18.749536767056814,0
47,17.358939250668623,0
48,19.76657747623423,0
49,20.396840929700865,0
50,22.256095757355702,0
51,20.73197035386923,0
52,23.238041897845683,0
53,21.944834382007194,0
54,23.20424301323282,0
55,23.126293533033966,0
56,25.778858307843862,0
57,25.187610762344725,0
58,27.26136163429055,0
59,25.599140685951372,0
60,25.844992733719174,0
61,25.79790718313439,0
62,24.223017595535794,0
63,24.549369215918052,0
64,25.68051588666682,0
65,23.570215936283205,0
66,23.724333437223834,0
67,23.022583684626316,0
68,23.10921649283274,0
69,21.548508419878083,0
70,21.141733336755756,0
71,20.895012389772404,0
72,20.10302313848681,0
73,18.48239629261793,0
74,19.601687817676844,0
75,16.788101629927638,0
76,16.29888445119648,0
77,15.673701060215937,0
78,17.431438373000482,0
79,15.672624929644558,0
80,14.69883660255674,0
81,14.244580943253922,0
82,15.591502006017068,0
83,13.987935030553112,0
84,13.727921789902357,0
85,15.65676875559981,0
86,13.973663141362087,0
87,15.058164186692165,0
88,15.663111440731283,0
89,15.58789793161401,0
90,16.410372132471814,0
91,18.294966354011166,0
92,16.98310584741072,0
93,16.82727567929632,0
94,16.869159069293715,0
95,19.14260292206588,0
96,19.647742989588767,0
97,20.917721868030572,0
98,20.829850633875118,0
99,21.434778698772725,0
100,21.7786842521514,0
101,22.524047372673422,0
102,23.695760612250158,0
103,23.586413974241033,0
104,24.4305688717547,0
105,26.520584862589693,0
106,25.308747282242283,0
107,23.381134461433824,0
108,26.733529585613105,0
109,25.305034676857588,0
110,23.888215844994356,0
111,25.526446620242243,0
112,24.347782629832036,0
113,23.351548168421107,0
114,22.902024980499128,0
115,22.05037535479174,0
116,22.548118983989838,0
117,22.982233855575018,0
118,20.96904312670623,0
119,21.07345508615662,0
120,21.87564605377529,0
121,18.132778405919893,0
122,18.963427098410893,0
123,17.780145911322688,0
124,16.440743900172162,0
125,15.930345655519801,0
126,16.4491809509019,0
127,16.467096709743988,0
128,15.138283160334781,0
129,15.434992881803062,0
130,15.892579522989369,0
131,15.339336940048772,0
132,15.868670189740893,0
133,15.504171301281874,0
134,15.658376544235367,0
135,17.20723640238538,0
136,16.293044854770375,0
137,16.162704430899435,0
138,17.174409897509253,0
139,16.03706917944818,0
140,17.16229521423913,0
141,18.87980369236914,0
142,19.33669147458129,0
143,20.895730729731017,0
144,20.01047302891868,0
145,19.190303170679805,0
146,23.241342156388797,0
147,23.00630997238421,0
148,21.441262566396425,0
149,24.419630815012017,0
150,23.567936704711823,0
151,22.1528379315513,0
152,23.90977309749924,0
153,24.110493828562664,0
154,26.420477291767583,0
155,24.165155611449528,0
156,24.746382659620632,0
157,24.68046350002368,0
158,24.45065636846808,0
159,23.705323601523816,0
160,24.549213927947868,0
161,25.043571347869737,0
162,24.159511557104498,0
163,22.1163080289843,0
164,21.350184242838328,0
165,22.032390715407512,0
166,20.58751506188883,0
167,20.022465312250947,0
168,18.32030542115984,0
169,21.29786064159971,0
170,19.622523927028283,0
171,17.112675506267585,0
172,18.408210266794555,0
173,18.298679960781023,0
174,14.074912744390637,0
175,15.48428851297957,0
