REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,2018-01-01 00:30:00,6912.25,91.86
NSW1,2018-01-01 01:00:00,6745.63,88.83
NSW1,2018-01-01 01:30:00,6466.06,73.62
NSW1,2018-01-01 02:00:00,6279.8,71.49
NSW1,2018-01-01 02:30:00,6177.31,69.27
NSW1,2018-01-01 03:00:00,6050.43,68.44
NSW1,2018-01-01 03:30:00,6032.48,69.67
NSW1,2018-01-01 04:00:00,5968.5,67.58
NSW1,2018-01-01 04:30:00,5953.75,67.09
NSW1,2018-01-01 05:00:00,5962.18,67.53
NSW1,2018-01-01 05:30:00,5991.69,65.8
NSW1,2018-01-01 06:00:00,6062.03,61.53
NSW1,2018-01-01 06:30:00,6204.87,66.62
NSW1,2018-01-01 07:00:00,6352.58,68.42
NSW1,2018-01-01 07:30:00,6548.03,69.02
NSW1,2018-01-01 08:00:00,6728.17,69.0
NSW1,2018-01-01 08:30:00,6885.22,68.88
NSW1,2018-01-01 09:00:00,7080.7,69.22
NSW1,2018-01-01 09:30:00,7281.71,74.04
NSW1,2018-01-01 10:00:00,7474.62,75.15
NSW1,2018-01-01 10:30:00,7663.88,75.2
NSW1,2018-01-01 11:00:00,7764.89,80.66
NSW1,2018-01-01 11:30:00,7813.63,77.93
NSW1,2018-01-01 12:00:00,7815.47,71.48
NSW1,2018-01-01 12:30:00,7804.96,70.47
NSW1,2018-01-01 13:00:00,7901.26,76.55
NSW1,2018-01-01 13:30:00,7938.72,83.84
NSW1,2018-01-01 14:00:00,8000.7,85.14
NSW1,2018-01-01 14:30:00,8090.72,84.88
NSW1,2018-01-01 15:00:00,8210.88,82.54
NSW1,2018-01-01 15:30:00,8365.1,87.06
NSW1,2018-01-01 16:00:00,8512.21,95.05
NSW1,2018-01-01 16:30:00,8601.46,90.84
NSW1,2018-01-01 17:00:00,8747.49,91.46
NSW1,2018-01-01 17:30:00,8693.3,81.83
NSW1,2018-01-01 18:00:00,8672.52,79.93
NSW1,2018-01-01 18:30:00,8531.94,72.77
NSW1,2018-01-01 19:00:00,8279.37,74.45
NSW1,2018-01-01 19:30:00,8189.38,71.73
NSW1,2018-01-01 20:00:00,8161.52,76.95
NSW1,2018-01-01 20:30:00,8122.2,78.91
NSW1,2018-01-01 21:00:00,7957.58,69.42
NSW1,2018-01-01 21:30:00,7860.28,71.31
NSW1,2018-01-01 22:00:00,7648.52,66.1
NSW1,2018-01-01 22:30:00,7567.13,65.72
NSW1,2018-01-01 23:00:00,7336.37,62.37
NSW1,2018-01-01 23:30:00,7123.26,62.84
NSW1,2018-01-02 00:00:00,6989.32,58.48
NSW1,2018-01-02 00:30:00,6815.38,56.73
NSW1,2018-01-02 01:00:00,6590.78,56.88
NSW1,2018-01-02 01:30:00,6290.12,53.73
NSW1,2018-01-02 02:00:00,6139.77,55.07
NSW1,2018-01-02 02:30:00,6030.56,53.74
NSW1,2018-01-02 03:00:00,5986.37,54.98
NSW1,2018-01-02 03:30:00,5986.86,54.98
NSW1,2018-01-02 04:00:00,6013.38,54.98
NSW1,2018-01-02 04:30:00,6198.13,52.47
NSW1,2018-01-02 05:00:00,6271.44,66.62
NSW1,2018-01-02 05:30:00,6557.23,66.89
NSW1,2018-01-02 06:00:00,6847.25,67.29
