REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
SA1,2020-01-01 00:00:00,1474.11,85.95
SA1,2020-01-01 00:30:00,1419.45,68.33
SA1,2020-01-01 01:00:00,1361.94,68.33
SA1,2020-01-01 01:30:00,1256.3,68.76
SA1,2020-01-01 02:00:00,1202.3,68.42
SA1,2020-01-01 02:30:00,1170.07,68.25
SA1,2020-01-01 03:00:00,1151.99,68.0
SA1,2020-01-01 03:30:00,1133.61,68.0
SA1,2020-01-01 04:00:00,1125.55,65.65
SA1,2020-01-01 04:30:00,1118.56,60.66
SA1,2020-01-01 05:00:00,1120.8,57.42
SA1,2020-01-01 05:30:00,1124.89,59.95
SA1,2020-01-01 06:00:00,1119.88,56.87
SA1,2020-01-01 06:30:00,1089.95,45.85
SA1,2020-01-01 07:00:00,1049.18,36.27
SA1,2020-01-01 07:30:00,991.23,42.56
SA1,2020-01-01 08:00:00,927.15,38.79
SA1,2020-01-01 08:30:00,848.82,31.55
SA1,2020-01-01 09:00:00,761.16,6.4
SA1,2020-01-01 09:30:00,686.57,21.7
SA1,2020-01-01 10:00:00,623.05,11.32
SA1,2020-01-01 10:30:00,559.1,18.94
SA1,2020-01-01 11:00:00,534.18,26.69
SA1,2020-01-01 11:30:00,494.12,29.1
SA1,2020-01-01 12:00:00,468.22,29.66
SA1,2020-01-01 12:30:00,458.89,24.75
SA1,2020-01-01 13:00:00,475.46,29.69
SA1,2020-01-01 13:30:00,486.47,29.97
SA1,2020-01-01 14:00:00,489.6,32.41
SA1,2020-01-01 14:30:00,513.62,32.77
SA1,2020-01-01 15:00:00,565.77,36.41
SA1,2020-01-01 15:30:00,615.46,36.66
SA1,2020-01-01 16:00:00,682.56,43.94
SA1,2020-01-01 16:30:00,789.69,52.86
SA1,2020-01-01 17:00:00,887.52,55.44
SA1,2020-01-01 17:30:00,998.28,53.8
SA1,2020-01-01 18:00:00,1104.43,58.09
SA1,2020-01-01 18:30:00,1233.28,64.59
SA1,2020-01-01 19:00:00,1302.24,68.42
SA1,2020-01-01 19:30:00,1356.97,68.92
SA1,2020-01-01 20:00:00,1375.64,69.13
SA1,2020-01-01 20:30:00,1389.68,71.99
SA1,2020-01-01 21:00:00,1378.45,68.33
SA1,2020-01-01 21:30:00,1335.98,68.0
SA1,2020-01-01 22:00:00,1290.32,65.75
SA1,2020-01-01 22:30:00,1264.05,66.57
SA1,2020-01-01 23:00:00,1248.47,62.7
SA1,2020-01-01 23:30:00,1245.8,68.25
SA1,2020-01-02 00:00:00,1419.96,70.7
SA1,2020-01-02 00:30:00,1348.65,68.5
SA1,2020-01-02 01:00:00,1311.34,67.83
SA1,2020-01-02 01:30:00,1234.27,52.38
SA1,2020-01-02 02:00:00,1194.07,41.69
SA1,2020-01-02 02:30:00,1176.69,44.46
SA1,2020-01-02 03:00:00,1172.08,48.13
SA1,2020-01-02 03:30:00,1165.66,51.53
SA1,2020-01-02 04:00:00,1158.16,52.18
SA1,2020-01-02 04:30:00,1152.82,58.32
SA1,2020-01-02 05:00:00,1163.67,74.17
SA1,2020-01-02 05:30:00,1149.75,68.0
SA1,2020-01-02 06:00:00,1167.64,79.08
SA1,2020-01-02 06:30:00,1185.33,76.69
SA1,2020-01-02 07:00:00,1196.77,70.77
SA1,2020-01-02 07:30:00,1154.73,68.03
SA1,2020-01-02 08:00:00,1101.3,68.27
SA1,2020-01-02 08:30:00,1061.81,68.14
SA1,2020-01-02 09:00:00,998.01,68.0
SA1,2020-01-02 09:30:00,943.3,67.14
SA1,2020-01-02 10:00:00,872.3,65.35
SA1,2020-01-02 10:30:00,850.71,69.45
SA1,2020-01-02 11:00:00,810.47,64.12
SA1,2020-01-02 11:30:00,805.54,64.23
SA1,2020-01-02 12:00:00,807.79,57.75
SA1,2020-01-02 12:30:00,830.32,63.76
SA1,2020-01-02 13:00:00,861.49,67.61
SA1,2020-01-02 13:30:00,911.78,77.78
SA1,2020-01-02 14:00:00,973.96,78.93
SA1,2020-01-02 14:30:00,1010.47,77.4
SA1,2020-01-02 15:00:00,1082.62,77.45
SA1,2020-01-02 15:30:00,1163.35,82.7
SA1,2020-01-02 16:00:00,1288.13,88.75
SA1,2020-01-02 16:30:00,1396.41,86.46
SA1,2020-01-02 17:00:00,1507.01,88.46
SA1,2020-01-02 17:30:00,1624.76,82.65
SA1,2020-01-02 18:00:00,1697.05,87.29
SA1,2020-01-02 18:30:00,1753.45,89.89
SA1,2020-01-02 19:00:00,1753.61,88.87
SA1,2020-01-02 19:30:00,1726.46,77.77
SA1,2020-01-02 20:00:00,1673.34,73.84
SA1,2020-01-02 20:30:00,1651.28,63.23
SA1,2020-01-02 21:00:00,1596.55,52.66
SA1,2020-01-02 21:30:00,1503.95,49.61
SA1,2020-01-02 22:00:00,1468.94,53.83
SA1,2020-01-02 22:30:00,1423.74,62.24
SA1,2020-01-02 23:00:00,1381.87,57.88
SA1,2020-01-02 23:30:00,1337.02,72.79
SA1,2020-01-03 00:00:00,1490.12,75.75
SA1,2020-01-03 00:30:00,1393.34,64.08
SA1,2020-01-03 01:00:00,1327.82,52.35
SA1,2020-01-03 01:30:00,1274.88,42.83
SA1,2020-01-03 02:00:00,1213.44,44.82
SA1,2020-01-03 02:30:00,1218.24,48.51
SA1,2020-01-03 03:00:00,1192.0,44.09
SA1,2020-01-03 03:30:00,1167.75,47.01
SA1,2020-01-03 04:00:00,1156.7,44.55
SA1,2020-01-03 04:30:00,1155.61,42.13
SA1,2020-01-03 05:00:00,1140.09,37.87
SA1,2020-01-03 05:30:00,1158.15,41.62
SA1,2020-01-03 06:00:00,1183.31,43.79
SA1,2020-01-03 06:30:00,1199.72,42.76
SA1,2020-01-03 07:00:00,1232.05,43.02
SA1,2020-01-03 07:30:00,1240.14,37.0
SA1,2020-01-03 08:00:00,1270.56,36.23
SA1,2020-01-03 08:30:00,1333.44,38.47
SA1,2020-01-03 09:00:00,1350.2,41.01
SA1,2020-01-03 09:30:00,1335.04,40.41
SA1,2020-01-03 10:00:00,1319.6,38.53
SA1,2020-01-03 10:30:00,1336.38,40.47
SA1,2020-01-03 11:00:00,1417.69,45.55
SA1,2020-01-03 11:30:00,1475.44,61.1
SA1,2020-01-03 12:00:00,1531.75,57.32
SA1,2020-01-03 12:30:00,1586.69,64.32
SA1,2020-01-03 13:00:00,1682.15,66.74
SA1,2020-01-03 13:30:00,1714.55,68.43
SA1,2020-01-03 14:00:00,1809.83,71.17
SA1,2020-01-03 14:30:00,1831.9,79.22
SA1,2020-01-03 15:00:00,1894.04,69.68
SA1,2020-01-03 15:30:00,1977.29,66.62
SA1,2020-01-03 16:00:00,2127.0,71.01
SA1,2020-01-03 16:30:00,2217.04,87.01
SA1,2020-01-03 17:00:00,2359.57,81.35
SA1,2020-01-03 17:30:00,2446.21,76.12
SA1,2020-01-03 18:00:00,2515.04,92.76
SA1,2020-01-03 18:30:00,2529.68,88.01
SA1,2020-01-03 19:00:00,2585.25,105.79
SA1,2020-01-03 19:30:00,2538.47,98.59
SA1,2020-01-03 20:00:00,2413.07,94.37
SA1,2020-01-03 20:30:00,2274.24,80.89
SA1,2020-01-03 21:00:00,2180.29,81.15
SA1,2020-01-03 21:30:00,2033.08,67.9
SA1,2020-01-03 22:00:00,1894.62,66.51
SA1,2020-01-03 22:30:00,1724.12,63.07
SA1,2020-01-03 23:00:00,1584.04,59.26
SA1,2020-01-03 23:30:00,1544.57,62.77
SA1,2020-01-04 00:00:00,1660.72,66.22
SA1,2020-01-04 00:30:00,1568.01,66.45
SA1,2020-01-04 01:00:00,1533.09,61.86
SA1,2020-01-04 01:30:00,1456.98,52.02
SA1,2020-01-04 02:00:00,1417.75,52.53
SA1,2020-01-04 02:30:00,1350.3,46.46
SA1,2020-01-04 03:00:00,1327.79,46.91
SA1,2020-01-04 03:30:00,1304.29,53.64
SA1,2020-01-04 04:00:00,1295.47,55.12
SA1,2020-01-04 04:30:00,1272.85,52.36
SA1,2020-01-04 05:00:00,1253.04,51.26
SA1,2020-01-04 05:30:00,1197.92,45.79
SA1,2020-01-04 06:00:00,1220.39,46.64
SA1,2020-01-04 06:30:00,1241.29,40.19
SA1,2020-01-04 07:00:00,1220.22,29.45
SA1,2020-01-04 07:30:00,1230.57,36.41
SA1,2020-01-04 08:00:00,1146.47,34.08
SA1,2020-01-04 08:30:00,1051.33,29.86
SA1,2020-01-04 09:00:00,1061.55,30.01
SA1,2020-01-04 09:30:00,1100.52,37.08
SA1,2020-01-04 10:00:00,1072.57,33.92
SA1,2020-01-04 10:30:00,998.4,32.12
SA1,2020-01-04 11:00:00,922.08,28.67
SA1,2020-01-04 11:30:00,857.53,28.53
SA1,2020-01-04 12:00:00,848.35,39.79
SA1,2020-01-04 12:30:00,752.68,49.58
SA1,2020-01-04 13:00:00,762.1,48.44
SA1,2020-01-04 13:30:00,761.95,39.63
SA1,2020-01-04 14:00:00,768.25,10.54
SA1,2020-01-04 14:30:00,740.39,-12.37
SA1,2020-01-04 15:00:00,783.99,3.03
SA1,2020-01-04 15:30:00,828.98,-200.74
SA1,2020-01-04 16:00:00,997.87,-217.0
SA1,2020-01-04 16:30:00,1113.23,-12.52
SA1,2020-01-04 17:00:00,1112.5,0.41
SA1,2020-01-04 17:30:00,1234.13,14.6
SA1,2020-01-04 18:00:00,1245.98,23.96
SA1,2020-01-04 18:30:00,1269.02,-12.54
SA1,2020-01-04 19:00:00,1238.01,-4.43
SA1,2020-01-04 19:30:00,1276.16,52.92
SA1,2020-01-04 20:00:00,1248.47,69.23
SA1,2020-01-04 20:30:00,1255.23,117.3
SA1,2020-01-04 21:00:00,1240.03,50.86
SA1,2020-01-04 21:30:00,1192.69,86.75
SA1,2020-01-04 22:00:00,1180.03,17.67
SA1,2020-01-04 22:30:00,1172.65,15.13
SA1,2020-01-04 23:00:00,1162.88,19.69
SA1,2020-01-04 23:30:00,1153.98,35.06
SA1,2020-01-05 00:00:00,1306.54,40.09
SA1,2020-01-05 00:30:00,1271.54,31.53
SA1,2020-01-05 01:00:00,1231.59,15.44
SA1,2020-01-05 01:30:00,1164.15,26.77
SA1,2020-01-05 02:00:00,1119.49,31.84
SA1,2020-01-05 02:30:00,1101.28,37.38
SA1,2020-01-05 03:00:00,1082.93,26.72
SA1,2020-01-05 03:30:00,1080.95,-0.01
SA1,2020-01-05 04:00:00,1080.24,-0.52
SA1,2020-01-05 04:30:00,1082.15,0.09
SA1,2020-01-05 05:00:00,1073.38,-21.81
SA1,2020-01-05 05:30:00,1076.04,-6.01
SA1,2020-01-05 06:00:00,1068.22,-10.99
SA1,2020-01-05 06:30:00,1061.68,2.44
SA1,2020-01-05 07:00:00,1098.61,2.24
SA1,2020-01-05 07:30:00,1101.4,6.56
SA1,2020-01-05 08:00:00,1080.83,26.91
SA1,2020-01-05 08:30:00,1063.18,33.52
SA1,2020-01-05 09:00:00,1055.41,31.34
SA1,2020-01-05 09:30:00,1079.82,32.42
SA1,2020-01-05 10:00:00,1095.3,28.56
SA1,2020-01-05 10:30:00,1092.66,26.67
SA1,2020-01-05 11:00:00,1103.9,-17.7
SA1,2020-01-05 11:30:00,1080.92,-8.15
SA1,2020-01-05 12:00:00,1037.37,-5.59
SA1,2020-01-05 12:30:00,1042.78,-5.57
SA1,2020-01-05 13:00:00,1016.31,7.67
SA1,2020-01-05 13:30:00,1003.03,-34.45
SA1,2020-01-05 14:00:00,1037.08,-26.02
SA1,2020-01-05 14:30:00,1059.94,-37.99
SA1,2020-01-05 15:00:00,1084.78,-1.29
SA1,2020-01-05 15:30:00,1105.11,13.27
SA1,2020-01-05 16:00:00,1137.49,36.96
SA1,2020-01-05 16:30:00,1153.83,18.99
SA1,2020-01-05 17:00:00,1179.66,40.15
SA1,2020-01-05 17:30:00,1233.91,39.43
SA1,2020-01-05 18:00:00,1200.12,42.59
SA1,2020-01-05 18:30:00,1188.56,46.82
SA1,2020-01-05 19:00:00,1175.06,44.2
SA1,2020-01-05 19:30:00,1195.49,37.28
SA1,2020-01-05 20:00:00,1214.46,39.79
SA1,2020-01-05 20:30:00,1277.95,45.26
SA1,2020-01-05 21:00:00,1271.68,42.08
SA1,2020-01-05 21:30:00,1255.05,38.11
SA1,2020-01-05 22:00:00,1211.04,22.45
SA1,2020-01-05 22:30:00,1166.92,14.09
SA1,2020-01-05 23:00:00,1163.93,27.47
SA1,2020-01-05 23:30:00,1171.47,37.09
SA1,2020-01-06 00:00:00,1357.73,38.24
SA1,2020-01-06 00:30:00,1327.42,40.13
SA1,2020-01-06 01:00:00,1278.29,34.16
SA1,2020-01-06 01:30:00,1193.07,37.12
SA1,2020-01-06 02:00:00,1131.01,31.85
SA1,2020-01-06 02:30:00,1093.85,35.31
SA1,2020-01-06 03:00:00,1075.44,34.46
SA1,2020-01-06 03:30:00,1075.72,38.62
SA1,2020-01-06 04:00:00,1067.66,40.16
SA1,2020-01-06 04:30:00,1064.95,39.72
SA1,2020-01-06 05:00:00,1106.34,43.27
SA1,2020-01-06 05:30:00,1114.38,58.52
SA1,2020-01-06 06:00:00,1145.27,56.28
SA1,2020-01-06 06:30:00,1173.13,62.77
SA1,2020-01-06 07:00:00,1233.56,84.67
SA1,2020-01-06 07:30:00,1222.85,79.85
