event_id,event_name,start_date,end_date,date_precision,region,event_type,description,peak_mae_mw,source_title
EVT-SA1-001,SA1 MAE spike - peak 375 MW on 2021-10-23,2021-10-23 15:30:00,2021-10-26 17:30:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2021-10-23 15:30:00 and 2021-10-26 17:30:00, peaking at 375 MW on 2021-10-23 23:30:00.",375.0,Auto-detected from rolling MAE
EVT-SA1-002,SA1 MAE spike - peak 370 MW on 2021-11-28,2021-11-27 17:30:00,2021-11-28 14:30:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2021-11-27 17:30:00 and 2021-11-28 14:30:00, peaking at 370 MW on 2021-11-28 10:00:00.",370.2,Auto-detected from rolling MAE
EVT-SA1-003,SA1 MAE spike - peak 378 MW on 2021-12-01,2021-11-30 10:30:00,2021-12-01 20:30:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2021-11-30 10:30:00 and 2021-12-01 20:30:00, peaking at 378 MW on 2021-12-01 13:00:00.",378.3,Auto-detected from rolling MAE
EVT-SA1-004,SA1 MAE spike - peak 393 MW on 2021-12-29,2021-12-28 07:00:00,2021-12-30 10:00:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2021-12-28 07:00:00 and 2021-12-30 10:00:00, peaking at 393 MW on 2021-12-29 10:00:00.",393.3,Auto-detected from rolling MAE
EVT-SA1-005,SA1 MAE spike - peak 371 MW on 2022-01-01,2022-01-01 04:00:00,2022-01-01 08:30:00,day,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2022-01-01 04:00:00 and 2022-01-01 08:30:00, peaking at 371 MW on 2022-01-01 06:00:00.",370.6,Auto-detected from rolling MAE
EVT-SA1-006,SA1 MAE spike - peak 380 MW on 2022-06-09,2022-06-06 02:30:00,2022-06-11 15:30:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2022-06-06 02:30:00 and 2022-06-11 15:30:00, peaking at 380 MW on 2022-06-09 10:00:00.",380.0,Auto-detected from rolling MAE
EVT-SA1-007,SA1 MAE spike - peak 393 MW on 2022-07-17,2022-07-12 21:30:00,2022-07-23 17:00:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2022-07-12 21:30:00 and 2022-07-23 17:00:00, peaking at 393 MW on 2022-07-17 16:30:00.",393.1,Auto-detected from rolling MAE
EVT-SA1-008,SA1 MAE spike - peak 390 MW on 2023-01-02,2022-12-28 18:30:00,2023-01-03 16:00:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2022-12-28 18:30:00 and 2023-01-03 16:00:00, peaking at 390 MW on 2023-01-02 16:30:00.",389.6,Auto-detected from rolling MAE
EVT-SA1-009,SA1 MAE spike - peak 451 MW on 2023-02-27,2023-02-24 02:00:00,2023-03-02 03:00:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2023-02-24 02:00:00 and 2023-03-02 03:00:00, peaking at 451 MW on 2023-02-27 17:30:00.",450.7,Auto-detected from rolling MAE
EVT-SA1-010,SA1 MAE spike - peak 412 MW on 2023-06-28,2023-06-25 10:30:00,2023-06-29 12:00:00,date_range,SA1,mae_spike,"Rolling MAE exceeded mean + 2.0 std (367 MW) between 2023-06-25 10:30:00 and 2023-06-29 12:00:00, peaking at 412 MW on 2023-06-28 06:00:00.",412.3,Auto-detected from rolling MAE
